,0,1,2,3,4,5,6,7,8,9,10
0,0.0,1.0,5.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0
1,2.0,0.0,19.0,1.0,0.0,4.0,4.0,2.0,10.0,2.0,3.0
2,10.0,19.0,0.0,17.0,2.0,6.0,4.0,4.0,2.0,0.0,2.0
3,3.0,3.0,19.0,0.0,7.0,8.0,3.0,8.0,1.0,4.0,0.0
4,1.0,1.0,3.0,9.0,0.0,9.0,3.0,11.0,5.0,6.0,8.0
5,0.0,5.0,4.0,9.0,9.0,0.0,7.0,5.0,5.0,6.0,1.0
6,1.0,4.0,8.0,3.0,3.0,2.0,0.0,2.0,8.0,2.0,3.0
7,0.0,2.0,5.0,6.0,7.0,5.0,2.0,0.0,5.0,11.0,4.0
8,0.0,10.0,5.0,1.0,1.0,2.0,9.0,1.0,0.0,3.0,3.0
9,0.0,2.0,0.0,1.0,8.0,0.0,4.0,9.0,4.0,0.0,7.0
10,0.0,2.0,0.0,0.0,2.0,5.0,2.0,2.0,1.0,2.0,0.0
