,0,1,2,3,4,5,6,7,8,9,10
0,0.0,2.0,14.0,15.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0
1,0.0,0.0,7.0,1.0,1.0,8.0,8.0,10.0,2.0,1.0,5.0
2,9.0,6.0,0.0,16.0,4.0,12.0,0.0,4.0,0.0,4.0,1.0
3,12.0,1.0,23.0,0.0,15.0,4.0,3.0,2.0,7.0,1.0,4.0
4,2.0,0.0,2.0,7.0,0.0,3.0,0.0,4.0,6.0,14.0,3.0
5,1.0,11.0,3.0,7.0,4.0,0.0,10.0,3.0,3.0,5.0,2.0
6,1.0,8.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,0.0,2.0
7,1.0,3.0,3.0,0.0,2.0,6.0,3.0,0.0,3.0,5.0,1.0
8,2.0,1.0,0.0,5.0,5.0,1.0,1.0,4.0,0.0,5.0,4.0
9,0.0,2.0,0.0,0.0,5.0,6.0,1.0,2.0,10.0,0.0,0.0
10,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0
