,0,1,2,3,4,5,6,7,8,9,10
0,0.0,2.0,6.0,9.0,4.0,5.0,0.0,1.0,2.0,3.0,1.0
1,1.0,0.0,2.0,0.0,1.0,3.0,8.0,9.0,1.0,3.0,5.0
2,4.0,2.0,0.0,2.0,3.0,8.0,3.0,9.0,2.0,3.0,0.0
3,6.0,0.0,1.0,0.0,5.0,9.0,5.0,0.0,1.0,0.0,0.0
4,0.0,0.0,0.0,4.0,0.0,7.0,9.0,0.0,17.0,5.0,0.0
5,2.0,9.0,12.0,5.0,5.0,0.0,8.0,10.0,5.0,8.0,3.0
6,1.0,7.0,2.0,0.0,9.0,13.0,0.0,5.0,9.0,9.0,4.0
7,0.0,6.0,6.0,2.0,2.0,6.0,6.0,0.0,3.0,7.0,2.0
8,1.0,1.0,1.0,2.0,12.0,3.0,8.0,1.0,0.0,7.0,5.0
9,0.0,6.0,0.0,1.0,1.0,3.0,11.0,4.0,6.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,3.0,0.0
