,Country,Average Total Links,Average Network Density,Average Diameter,Average Clustering Coefficient,Average Clustering Centralization
0,Mexico,36.42424242424243,0.9212121212121213,2.0,0.9395863395863396,0.09629629629629627
1,Brazil,39.97727272727273,0.9136363636363636,2.0,0.91744227994228,0.10555555555555554
2,Panama,31.81818181818182,0.9181818181818182,2.0,0.9192640692640692,0.09999999999999996
3,Argentina,43.04545454545454,0.9060606060606059,2.0,0.912987012987013,0.1148148148148148
4,Ecuador,21.454545454545457,0.8818181818181818,2.0,0.8906565656565657,0.1444444444444444
5,Costa Rica,18.78787878787879,0.8181818181818182,2.0,0.8457431457431457,0.22222222222222218
6,United States,25.787878787878793,0.8363636363636363,2.0,0.8931938431938432,0.19999999999999998
7,Peru,19.212121212121215,0.8484848484848485,2.0,0.8478354978354979,0.18518518518518515
8,Jamaica,25.03030303030303,0.9272727272727272,2.0,0.9317219817219818,0.08888888888888886
9,Canada,28.393939393939394,0.8878787878787877,2.0,0.8882515632515632,0.137037037037037
10,Colombia,35.98484848484849,0.9060606060606061,2.0,0.9057960557960557,0.1148148148148148
11,Venezuela,31.181818181818183,0.9,2.0,0.9024170274170273,0.12222222222222219
12,Chile,29.87878787878788,0.890909090909091,2.0,0.8928811928811928,0.1333333333333333
13,Uruguay,27.909090909090907,0.890909090909091,2.0,0.9012626262626263,0.13333333333333333
14,Paraguay,29.72727272727273,0.8909090909090908,2.0,0.9158730158730158,0.1333333333333333
15,Bolivia,28.575757575757574,0.896969696969697,2.0,0.9118326118326118,0.1259259259259259
