50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,acb9b781-d215-4a47-aa53-9e8d0b9eee3b,1,,,,3939969,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6909, 'name': 'Damián Emiliano Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 29201, 'name': 'Nahuel Molina Lucero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 20572, 'name': 'Cristian Gabriel Romero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 27768, 'name': 'Lisandro Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 19597, 'name': 'Marcos Javier Acuña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Argentina,779,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,eaf760cb-9807-45c0-a6ca-8ac11068ebca,2,,,,3939969,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23758, 'name': 'Maxime Crépeau'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 44703, 'name': 'Alistair Johnston'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 383250, 'name': 'Moise Bombito'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 23760, 'name': 'Derek Cornelius'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 12365, 'name': 'Alphonso Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 133229, 'name': 'Ismael Koné'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11187, 'name': 'Stephen Antunes Eustáquio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 24024, 'name': 'Tajon Buchanan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 23363, 'name': 'Liam Millar'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 23640, 'name': 'Jonathan David'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 16459, 'name': 'Cyle Larin'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Canada,1833,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c1239464-3360-467a-92bd-a3c4c35c2d1d,3,,,,3939969,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['9a2eabe9-8ee6-482c-a13f-78e27806c350'],0,,,,,,,,,,,,,,,,,Canada,1833,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9a2eabe9-8ee6-482c-a13f-78e27806c350,4,,,,3939969,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['c1239464-3360-467a-92bd-a3c4c35c2d1d'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b7bed18d-b01c-4a24-8c03-612c9e44ef13,2089,,,,3939969,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,75,Argentina,779,['7c9517ae-6196-4f61-9302-1e31e358438e'],0,,,,,,,,,,,,,,,,,Canada,1833,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7c9517ae-6196-4f61-9302-1e31e358438e,2090,,,,3939969,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,75,Argentina,779,['b7bed18d-b01c-4a24-8c03-612c9e44ef13'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.604037,,,,,,,,,,,,806281e3-f5dc-4233-bce6-1be929a8af57,5,,,"[60.0, 40.0]",3939969,0,,,,,1.5707964,,Right Foot,,,,"[60.0, 41.9]",,Ground Pass,,1.9,,,,,Jonathan David,23640.0,,,,,Kick Off,1,From Kick Off,Cyle Larin,16459.0,Left Center Forward,2,Canada,1833,['311a46e2-bda3-4f9c-860f-5c3705b7bf70'],0,,,,,,,,,,,,,,,,,Canada,1833,00:00:00.823,Pass,
,,,,,,,,,,,,,,,,,,,0.582071,,,,,,,,,,,,22d13ad0-2ddb-4f8b-85b8-db2c8b554c27,8,,,"[60.0, 41.3]",3939969,0,,,,,-2.6224465,,Right Foot,,,,"[54.4, 38.1]",,Ground Pass,,6.449806,,,,,Stephen Antunes Eustáquio,11187.0,,,,,,1,From Kick Off,Jonathan David,23640.0,Right Center Forward,2,Canada,1833,['9f997989-ab9a-49ef-ac06-c96d59393726'],1,,,,,,,,,,,,,,,,,Canada,1833,00:00:01.537,Pass,
,,,,,,,,,,,,,,,,,,,0.586738,,,,,,,,,,,,b67091a6-21db-4a36-8d0e-b86a17b86b3c,11,,,"[52.8, 39.7]",3939969,0,,,,,1.7916251,,Left Foot,,,,"[50.6, 49.5]",,Ground Pass,,10.043903,,,,,Ismael Koné,133229.0,,,,,,1,From Kick Off,Stephen Antunes Eustáquio,11187.0,Left Defensive Midfield,2,Canada,1833,['8e3ec731-a888-4778-a8a7-7980f304088f'],5,,,,,,,,,,,,,,,,,Canada,1833,00:00:05.077,Pass,
,,,,,,,,,,,,,,,,,,,0.982583,,,,,,,,,,,,94a9bc83-6bc2-46b9-8ba7-94af24108e17,14,,,"[50.2, 51.9]",3939969,0,,,,,-1.4133794,,Right Foot,,,,"[52.2, 39.3]",,Ground Pass,,12.757743,,,,,Stephen Antunes Eustáquio,11187.0,,,,,,1,From Kick Off,Ismael Koné,133229.0,Right Defensive Midfield,2,Canada,1833,['9921d2fa-028f-4b95-aae4-aecbfcffd651'],7,,,,,,,,,,,,,,,,,Canada,1833,00:00:07.041,Pass,
