50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,46c41690-9656-4664-852d-627c152e6903,1,,,,3939971,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 36949, 'name': 'Julio José González Vela-Alvizu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26406, 'name': 'Jorge Eduardo Sánchez Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26368, 'name': 'César Jasib Montes Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 26336, 'name': 'Johan Felipe Vásquez Ibarra'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 27896, 'name': 'Gerardo Daniel Arteaga Zamora'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5567, 'name': 'Edson Omar Álvarez Velázquez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26280, 'name': 'Orbelín Pineda Alvarado'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 28825, 'name': 'Luis Gerardo Chávez Magallón'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 15452, 'name': 'Carlos Uriel Antuna Romero'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 35375, 'name': 'Julián Andrés Quiñones Quiñones'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 31053, 'name': 'Santiago Tomás Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Mexico,794,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,2068946f-3f18-4945-b4b2-272d03677024,2,,,,3939971,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 226523, 'name': 'Jahmali Waite'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 33145, 'name': ""Di'Shon Bernard""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 32685, 'name': 'Joël Latibeaudiere'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 4610, 'name': 'Ethan Pinnock'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 61204, 'name': 'Dexter Lembikisa'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3159, 'name': 'Gregory Leigh'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 22}, {'player': {'id': 9923, 'name': 'Bobby Armani De Cordova-Reid'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3317, 'name': 'Kasey Palmer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 31455, 'name': 'Shamar Nicholson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3312, 'name': 'Demarai Gray'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Jamaica,2305,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,fe70c3cb-2b87-4bda-b255-4db128b03b02,3,,,,3939971,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,['e6b6f441-584c-4e04-8e01-86b8c6492758'],0,,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,e6b6f441-584c-4e04-8e01-86b8c6492758,4,,,,3939971,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,['fe70c3cb-2b87-4bda-b255-4db128b03b02'],0,,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,ecbcc150-58cc-4c5e-a60d-9198e27510a1,1744,,,,3939971,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,97,Jamaica,2305,['21749564-a90f-434b-8f35-ae2c42d5f153'],0,,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,21749564-a90f-434b-8f35-ae2c42d5f153,1745,,,,3939971,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,97,Jamaica,2305,['ecbcc150-58cc-4c5e-a60d-9198e27510a1'],0,,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.294618,,,,,,,,82ce8f3e-8c29-4ef0-8799-cbabeb2d85c0,5,,,"[61.0, 40.1]",3939971,0,,,,,3.1173255,,Right Foot,,,,"[40.4, 40.6]",,Ground Pass,,20.606068,,,Edson Omar Álvarez Velázquez,5567.0,,,,,Kick Off,1,From Kick Off,Orbelín Pineda Alvarado,26280.0,Right Center Midfield,2,Mexico,794,['ba8ce8fc-3512-49d0-b304-9c1b80b44072'],1,,,,,,,,,,,,,,,,,,Mexico,794,00:00:01.162,Pass,
,,,,,,,,,,,,,,,,1.544544,,,,,,,,61a9aec8-0335-4fc0-8d5f-d01e02fd96ff,8,,,"[38.1, 41.0]",3939971,0,,,,,1.7522116,,Right Foot,,,,"[35.0, 57.9]",,Ground Pass,,17.181967,,,César Jasib Montes Castro,26368.0,,,,,,1,From Kick Off,Edson Omar Álvarez Velázquez,5567.0,Center Defensive Midfield,2,Mexico,794,['87d53ddf-5696-4c2e-947b-27f3dacf658c'],4,,,,,,,,,,,,,,,,,,Mexico,794,00:00:04.536,Pass,
,,,,,,,,,,,,,,,,1.146427,,,,,,,,2239d801-19de-4ded-a875-d266d1afcc39,11,,,"[40.6, 58.5]",3939971,0,,,,,0.13352905,,Right Foot,,,,"[60.7, 61.2]",,Ground Pass,,20.280533,,,Jorge Eduardo Sánchez Ramos,26406.0,,,,,,1,From Kick Off,César Jasib Montes Castro,26368.0,Right Center Back,2,Mexico,794,['01560c74-e4d7-479a-8e2f-76d29d0fe702'],10,,,,,,,,,,,,,,,,,,Mexico,794,00:00:10.544,Pass,
,,,,,,,,,,,,,,,,0.203785,,,,,,,,e8dc1dd6-4041-4c4d-84cc-1bf99dba009b,14,,,"[60.7, 61.2]",3939971,0,,,,,0.0,,Left Foot,,,,"[65.3, 61.2]",,Ground Pass,,4.6,Incomplete,,Carlos Uriel Antuna Romero,15452.0,,,,,,1,From Kick Off,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,2,Mexico,794,"['a72ea767-4fa1-42a3-a159-dd8963cd65fa', 'c6ff857f-bd24-4101-9f72-e6f87aa0bbfe']",12,,,,,,,,,,,,,,,,,,Mexico,794,00:00:12.621,Pass,
