50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a834d40b-6262-4cde-8131-6e3ebe696a04,1,,,,3939976,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 13620, 'name': 'Éder Gabriel Militão'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6919, 'name': 'Guilherme Antonio Arana Lopes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25142, 'name': 'Bruno Guimarães Rodriguez Moura'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 48720, 'name': 'João Victor Gomes da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 10595, 'name': 'Raphael Dias Belloli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 22600, 'name': 'Lucas Tolentino Coelho de Lima'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 18395, 'name': 'Vinícius José Paixão de Oliveira Júnior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 25104, 'name': 'Rodrygo Silva de Goes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,228e8234-5804-40f2-8deb-b0a3b8d35bfc,2,,,,3939976,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 97291, 'name': 'Patrick Gilmar Sequeira Mejías'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 143385, 'name': 'Jeyland Yahir Mitchell Baltodano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 27163, 'name': 'Juan Pablo Vargas Campos'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 5600, 'name': 'Francisco Javier Calvo Quesada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 132510, 'name': 'Haxzel Quirós Cruz'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 19101, 'name': 'Ariel Lassiter'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 130193, 'name': 'Jefferson Brenes Rojas'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 132516, 'name': 'Orlando Moisés Galo Calderón'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 108340, 'name': 'Brandon Aguilera Zamora'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 184468, 'name': 'Álvaro José Zamora Mata'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 36251, 'name': 'Manfred Ugalde'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Costa Rica,795,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a835d762-aac5-48e4-8483-85b276cac918,3,,,,3939976,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['62c19dfd-51dc-4b64-aa94-345730d3f327'],0,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,62c19dfd-51dc-4b64-aa94-345730d3f327,4,,,,3939976,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['a835d762-aac5-48e4-8483-85b276cac918'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,60621ed0-3574-4556-9325-d022722809f5,1887,,,,3939976,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,68,Brazil,781,['ddf9e388-bec7-420e-96b8-d63fb327f59c'],0,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ddf9e388-bec7-420e-96b8-d63fb327f59c,1888,,,,3939976,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,68,Brazil,781,['60621ed0-3574-4556-9325-d022722809f5'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,2.325263,,,,,,,,,,,,,,ffd82e9e-91ec-4e20-8133-2151bc71c089,5,,,"[60.0, 40.0]",3939976,0,,,,-2.7536125,,Left Foot,,,,"[25.5, 25.9]",Ground Pass,,37.270096,,,Francisco Javier Calvo Quesada,5600.0,,,,,Kick Off,1,From Kick Off,Brandon Aguilera Zamora,108340.0,Left Center Midfield,2,Costa Rica,795,['d7ffae0c-612b-45f5-a9ef-d1fa88d376f3'],0,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.478,Pass,
,,,,,,,,,,,,,,,,,,3.581589,,,,,,,,,,,,,,8a64fa24-96a6-45a6-a200-a25583e232ef,9,,,"[30.2, 25.5]",3939976,0,,,,0.015049031,,Right Foot,,,,"[90.0, 26.4]",High Pass,,59.80677,,Incomplete,,,,,,,,1,From Kick Off,Francisco Javier Calvo Quesada,5600.0,Left Center Back,2,Costa Rica,795,"['0b32a06f-690f-4ce9-9dc8-5ec43f44d33d', 'dac545c7-f9cf-4e7e-93f9-4aec42a3b15c']",4,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:04.139,Pass,True
,,,,,,,,,,,,,,,,,,1.646972,,,,,,,,,,,,,,da0559dd-6f58-4550-8586-0b777d5b9e08,12,,,"[29.9, 55.9]",3939976,0,,,,0.98279375,,Right Foot,,,,"[44.7, 78.1]",Ground Pass,,26.68108,,,Danilo Luiz da Silva,3063.0,,,,,,1,Regular Play,Éder Gabriel Militão,13620.0,Right Center Back,3,Brazil,781,['ea24e5bb-5154-443b-accd-c1bc8cd181e7'],10,,,,,,,,,,,,,,,,,Brazil,781,00:00:10.385,Pass,
,,,,,,,,,,,,,,,,,,0.805004,,,,,,,,,,,,,,8df947b7-9cc4-4aad-99a6-73a0f1f06b28,15,,,"[60.4, 79.6]",3939976,0,,,,-2.2278712,,Right Foot,,,,"[55.0, 72.6]",Ground Pass,,8.840815,,,Bruno Guimarães Rodriguez Moura,25142.0,,,,,,1,Regular Play,Danilo Luiz da Silva,3063.0,Right Back,3,Brazil,781,['5e6b7ad5-8cc7-4e61-9ee9-2c25683852a4'],19,,,,,,,,,,,,,,,,,Brazil,781,00:00:19.281,Pass,
