50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ee260013-758a-476e-90d7-bb7c7efb8565,1,,,,3939978,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 5528, 'name': 'Pedro David Gallese Quiróz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 33176, 'name': 'Miguel Gianpierre Araujo Blanco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 15481, 'name': 'Alexander Martín Marquinho Callens Asín'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 13435, 'name': 'Andy Jorman Polo Andrade'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 7}, {'player': {'id': 23749, 'name': 'Marcos Johan López Lanfranco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 6}, {'player': {'id': 6313, 'name': 'Wilder José Cartagena Mendoza'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10836, 'name': 'Sergio Fernando Peña Flores'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 101509, 'name': 'Piero Aldair Quispe Córdova'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 7143, 'name': 'Gianluca Lapadula Vargas'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 5525, 'name': 'Édison Michael Flores Peralta'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Peru,784,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cdf45eac-0f0c-49b1-bb15-02335b60a4ac,2,,,,3939978,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23758, 'name': 'Maxime Crépeau'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 44703, 'name': 'Alistair Johnston'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 383250, 'name': 'Moise Bombito'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 23760, 'name': 'Derek Cornelius'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 16120, 'name': 'Richie Laryea'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 133229, 'name': 'Ismael Koné'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11187, 'name': 'Stephen Antunes Eustáquio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 23363, 'name': 'Liam Millar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 23640, 'name': 'Jonathan David'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 12365, 'name': 'Alphonso Davies'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 16459, 'name': 'Cyle Larin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Canada,1833,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b4cd0927-fb29-4743-a300-0a05768d4134,3,,,,3939978,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,['c2fa5039-bfc5-430f-b17d-ca6fd266189b'],0,,,,,,,,,,,,,,,,Canada,1833,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c2fa5039-bfc5-430f-b17d-ca6fd266189b,4,,,,3939978,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,['b4cd0927-fb29-4743-a300-0a05768d4134'],0,,,,,,,,,,,,,,,,Peru,784,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7504906a-6b5f-4385-8238-1135021b9e14,1425,,,,3939978,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,85,Peru,784,['e0c5370f-4e75-4f9d-9e9e-48f424169562'],0,,,,,,,,,,,,,,,,Peru,784,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e0c5370f-4e75-4f9d-9e9e-48f424169562,1426,,,,3939978,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,85,Peru,784,['7504906a-6b5f-4385-8238-1135021b9e14'],0,,,,,,,,,,,,,,,,Canada,1833,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.31886,,,,,,,,,,,,e9ce5150-cbb6-46e6-ae50-356bbdf8d45e,5,,,"[60.0, 40.0]",3939978,0,,,,-0.96850896,,Right Foot,,,,"[61.1, 38.4]",,Ground Pass,,1.9416488,,,,Cyle Larin,16459.0,,,,,Kick Off,1,From Kick Off,Jonathan David,23640.0,Center Attacking Midfield,2,Canada,1833,['73898804-1c29-4b38-9e64-f8ca83a3399c'],0,,,,,,,,,,,,,,,,Canada,1833,00:00:00.358,Pass,
,,,,,,,,,,,,,,,,,,1.267995,,,,,,,,,,,,ffbe86b5-babe-4726-a888-45d1296a9b94,8,,,"[64.4, 39.1]",3939978,0,,,,1.3818991,,Right Foot,,,,"[70.9, 73.1]",,Low Pass,,34.61575,,,,Alistair Johnston,44703.0,,,,,,1,From Kick Off,Cyle Larin,16459.0,Center Forward,2,Canada,1833,['c00deccc-5fdc-4ffc-b022-f93193eaa667'],1,,,,,,,,,,,,,,,,Canada,1833,00:00:01.944,Pass,
,,,,,,,,,,,,,,,,,,0.634342,,,,,,,,,,,,ff171c1f-0996-419a-8ff6-aed598d5f67a,11,,,"[70.2, 73.1]",3939978,0,,,,-0.86603105,,Right Foot,,,,"[79.3, 62.4]",,Ground Pass,,14.046351,,,,Liam Millar,23363.0,,,,,,1,From Kick Off,Alistair Johnston,44703.0,Right Back,2,Canada,1833,"['2a5bd736-7cd8-44d7-a84f-530ea727e404', 'a3f0cb0a-96bc-4f5b-ad6a-ee6f17286c3f']",3,,,,,,,,,,,,,,,,Canada,1833,00:00:03.212,Pass,True
,,,,,,,,,,,,,,,,,,3.624144,,,,,,,,,,,,06d9b07d-efe3-4a89-bd4b-f4f0731958a9,14,,,"[32.2, 35.0]",3939978,0,,,,0.19181526,,Right Foot,,,,"[66.7, 41.7]",,High Pass,,35.144558,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Carlos Augusto Zambrano Ochandarte,36359.0,Center Back,2,Canada,1833,['07e40d1d-79a4-4ec8-ba74-53d6f46cec34'],5,,,,,,,,,,,,,,,,Peru,784,00:00:05.373,Pass,
