50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8d40f880-613c-48c3-8098-fff65c1ef1f5,1,,,,3939985,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada,1833,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23758, 'name': 'Maxime Crépeau'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 44703, 'name': 'Alistair Johnston'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 383250, 'name': 'Moise Bombito'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 23760, 'name': 'Derek Cornelius'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 12365, 'name': 'Alphonso Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 12770, 'name': 'Jonathan Osorio'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 11187, 'name': 'Stephen Antunes Eustáquio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 16120, 'name': 'Richie Laryea'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 23640, 'name': 'Jonathan David'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 26152, 'name': 'Jacob Shaffelburg'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 16459, 'name': 'Cyle Larin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Canada,1833,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,120c6402-cab7-4ecb-af29-2f68eeaa4a67,2,,,,3939985,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada,1833,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 28648, 'name': 'Gabriel Arias Arroyo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26256, 'name': 'Igor Lichnovsky Osorio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 6855, 'name': 'Guillermo Alfonso Maripán Loaysa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 36212, 'name': 'Gabriel Alonso Suazo Urbina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 36532, 'name': 'Marcelino Ignacio Nuñez Espinoza'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 35738, 'name': 'Rodrigo Eduardo Echeverría Sáez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 204925, 'name': 'Darío Esteban Osorio Osorio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 30944, 'name': 'Víctor Alejandro Dávila Zavala'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Chile,3562,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,60e012ee-5d51-4aac-8c6f-ff2da040f0ef,3,,,,3939985,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada,1833,['ce14c4a9-b412-45af-9eb0-cfd108c3b7b0'],0,,,,,,,,,,,,,,,,,Chile,3562,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ce14c4a9-b412-45af-9eb0-cfd108c3b7b0,4,,,,3939985,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada,1833,['60e012ee-5d51-4aac-8c6f-ff2da040f0ef'],0,,,,,,,,,,,,,,,,,Canada,1833,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5e32366c-9d28-44cf-aff1-84127a24d5e4,1421,,,,3939985,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,74,Chile,3562,['ab393687-5384-4746-8a73-2c779b29a72e'],0,,,,,,,,,,,,,,,,,Chile,3562,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ab393687-5384-4746-8a73-2c779b29a72e,1422,,,,3939985,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,74,Chile,3562,['5e32366c-9d28-44cf-aff1-84127a24d5e4'],0,,,,,,,,,,,,,,,,,Canada,1833,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.756385,,,,,,,,,,,,8be1c935-8593-40e3-abf0-4380581b920a,5,,,"[60.0, 40.0]",3939985,0,,,,,1.9138203,,Right Foot,,,,"[59.5, 41.4]",Ground Pass,,1.4866068,,,Jonathan David,23640.0,,,,,Kick Off,1,From Kick Off,Cyle Larin,16459.0,Center Forward,2,Canada,1833,['ce6358cf-dcfd-4e6e-88ce-6ddf71ac9c66'],1,,,,,,,,,,,,,,,,,Canada,1833,00:00:01.753,Pass,
,,,,,,,,,,,,,,,,,,2.194159,,,,,,,,,,,,3cef8dc3-5e3c-4391-afb9-69d77dacfec9,8,,,"[62.8, 37.4]",3939985,0,,,,,-1.7859565,,Right Foot,,,,"[56.2, 7.2]",Ground Pass,,30.91278,,,Alphonso Davies,12365.0,,,,,,1,From Kick Off,Jonathan David,23640.0,Center Attacking Midfield,2,Canada,1833,['e84570c5-db59-4e9f-9949-f1127248493c'],3,,,,,,,,,,,,,,,,,Canada,1833,00:00:03.909,Pass,
,,,,,,,,,,,,,,,,,,1.642903,,,,,,,,,,,,dbfbb2be-760d-469c-9bf9-0bcf2e4121a6,11,,,"[56.8, 3.5]",3939985,0,,,,,2.8620706,,Left Foot,,,,"[35.2, 9.7]",Ground Pass,,22.472204,,,Derek Cornelius,23760.0,,,,,,1,From Kick Off,Alphonso Davies,12365.0,Left Back,2,Canada,1833,['1ae5747f-f634-4f7c-89e1-62626ab0b1cb'],8,,,,,,,,,,,,,,,,,Canada,1833,00:00:08.834,Pass,
,,,,,,,,,,,,,,,,,,1.644942,,,,,,,,,,,,a11d27d2-5b81-47cf-be9f-2f5f6a7edef0,14,,,"[34.9, 13.2]",3939985,0,,,,,2.067219,,Right Foot,,,,"[24.5, 32.4]",Ground Pass,,21.83575,,,Moise Bombito,383250.0,,,,,,1,From Kick Off,Derek Cornelius,23760.0,Left Center Back,2,Canada,1833,['4f920d63-e050-401b-bc17-6fa65c56804c'],11,,,,,,,,,,,,,,,,,Canada,1833,00:00:11.756,Pass,
