50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be2ca64a-39d8-47ae-b4a9-40201d3ab3d9,1,,,,3942415,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 36710, 'name': 'Sergio Rochet Álvarez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5247, 'name': 'Nahitan Michel Nández Acosta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 32480, 'name': 'Ronald Federico Araújo da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7104, 'name': 'Mathías Olivera Miramontes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 34476, 'name': 'Matías Nicolás Viña Susperreguy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 36659, 'name': 'Manuel Ugarte Ribeiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6773, 'name': 'Federico Santiago Valverde Dipetta'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 28729, 'name': 'Diego Nicolás De La Cruz Arcosa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 36288, 'name': 'Facundo Pellistri Rebollo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 35492, 'name': 'Maximiliano Javier Araújo Vilches'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 32478, 'name': 'Darwin Gabriel Núñez Ribeiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Uruguay,783,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c69048c1-4105-4c9c-86be-e649cb17bdb2,2,,,,3942415,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 13620, 'name': 'Éder Gabriel Militão'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6919, 'name': 'Guilherme Antonio Arana Lopes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25142, 'name': 'Bruno Guimarães Rodriguez Moura'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 48720, 'name': 'João Victor Gomes da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 10595, 'name': 'Raphael Dias Belloli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 22600, 'name': 'Lucas Tolentino Coelho de Lima'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 25104, 'name': 'Rodrygo Silva de Goes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 271988, 'name': 'Endrick Felipe Moreira de Sousa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7d0205b4-205d-43c8-ae51-32b2cee11073,3,,,,3942415,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['87fe4316-4449-4b22-8d48-199fde6b7968'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,87fe4316-4449-4b22-8d48-199fde6b7968,4,,,,3942415,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['7d0205b4-205d-43c8-ae51-32b2cee11073'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c0c3cc0f-0e91-4094-8e05-43655ece860e,1298,,,,3942415,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Uruguay,783,['1f553798-e079-4b62-9a9e-22568edd1070'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f553798-e079-4b62-9a9e-22568edd1070,1299,,,,3942415,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Uruguay,783,['c0c3cc0f-0e91-4094-8e05-43655ece860e'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,843a9788-bd50-40e3-9061-fe16dff6564d,2767,,,,3942415,120,,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,162,Brazil,781,['c99d52ec-59fc-496a-ac10-d472ec168039'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c99d52ec-59fc-496a-ac10-d472ec168039,2768,,,,3942415,120,,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,162,Brazil,781,['843a9788-bd50-40e3-9061-fe16dff6564d'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.592612,,,,,,,,,,,,,6bbb2c4d-bb7d-4877-be36-75b99a3c95c9,5,,,"[60.0, 40.0]",3942415,0,,,,,-2.50757,,Left Foot,,,"[56.6, 37.5]",Ground Pass,,4.2201896,,,,Rodrygo Silva de Goes,25104.0,,,,,,Kick Off,1,From Kick Off,Endrick Felipe Moreira de Sousa,271988.0,Center Forward,2,Brazil,781,['5091ce6b-ec94-4572-9230-dd143eab8006'],1,,,,,,,,,,,,,,,,,Brazil,781,00:00:01.122,Pass,
,,,,,,,,,,,,,,,,,0.962315,,,,,,,,,,,,,be808e61-9b5a-40d1-a3a7-83f78bf119bf,8,,,"[63.1, 41.2]",3942415,0,,,,,2.7918773,,Right Foot,,,"[54.6, 44.3]",Ground Pass,,9.047651,,,,Bruno Guimarães Rodriguez Moura,25142.0,,,,,,,1,From Kick Off,Rodrygo Silva de Goes,25104.0,Left Wing,2,Brazil,781,['1a084091-7025-4714-a649-327982b9d96c'],3,,,,,,,,,,,,,,,,,Brazil,781,00:00:03.214,Pass,
