50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,719602f6-a249-4c09-b6e4-31843d64397b,1,,,,3942416,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 27225, 'name': 'Camilo Andrés Vargas Gil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 27423, 'name': 'Daniel Muñoz Mejía'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 28567, 'name': 'Carlos Eccehomo Cuesta Figueroa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6193, 'name': 'Andrés Mateus Uribe Villa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 49395, 'name': 'Richard Rios Montoya'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 27277, 'name': 'Jhon Adolfo Arias Andrade'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8817, 'name': 'Jhon Andrés Córdoba Copete'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 27158, 'name': 'Luis Fernando Díaz Marulanda'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Colombia,769,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3aae52ab-8f6b-423a-b230-f92a48d949f1,2,,,,3942416,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 104179, 'name': 'Orlando Mosquera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 260212, 'name': 'Edgardo Isaac Fariña Wynter'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 223971, 'name': 'José Ángel Córdoba Chambers'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 22256, 'name': 'Roderick Alonso Miller Molina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5641, 'name': 'Michael Amir Murillo Bermudez'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 23}, {'player': {'id': 5634, 'name': 'Erick Javier Davis Grajales'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 16637, 'name': 'Christian Jesús Martinez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 363986, 'name': 'Jovani Francisco Welch Lopez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 44305, 'name': 'César Rodolfo Blackman Camarena'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 5637, 'name': 'Edgar Yoel Bárcenas Herrera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 91089, 'name': 'José Fajardo Nelson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Panama,798,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ce5e92c5-02c8-4412-9d87-995e31e26592,3,,,,3942416,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,['8e29014c-b48b-4deb-b2ad-41a7188d3843'],0,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8e29014c-b48b-4deb-b2ad-41a7188d3843,4,,,,3942416,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,['ce5e92c5-02c8-4412-9d87-995e31e26592'],0,,,,,,,,,,,,,,,,,Panama,798,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,334ab67e-827c-4e61-8126-2841413110cc,1359,,,,3942416,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Colombia,769,['575fcf68-bc3c-4030-a1e6-f8e9b1e14424'],0,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,575fcf68-bc3c-4030-a1e6-f8e9b1e14424,1360,,,,3942416,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Colombia,769,['334ab67e-827c-4e61-8126-2841413110cc'],0,,,,,,,,,,,,,,,,,Panama,798,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.705507,,,,,,,,,,,,,,a16759aa-9440-4054-805a-857400e88062,5,,,"[61.0, 40.1]",3942416,0,,,,,2.6861415,,Right Foot,,,,"[51.2, 44.9]",,Ground Pass,,10.912378,,,,James David Rodríguez Rubio,5695.0,,,,,Kick Off,1,From Kick Off,Jhon Andrés Córdoba Copete,8817.0,Right Center Forward,2,Colombia,769,['83fc12b6-3834-4241-862f-980de33d7f05'],0,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.740,Pass,
,,,,,,,,,,,,,,,0.578776,,,,,,,,,,,,,,036c06d7-f601-4186-aba1-95f14b6a82f6,8,,,"[50.5, 45.1]",3942416,0,,,,,1.7818897,,Left Foot,,,,"[48.1, 56.3]",,Ground Pass,,11.454257,,,,Richard Rios Montoya,49395.0,,,,,,1,From Kick Off,James David Rodríguez Rubio,5695.0,Center Attacking Midfield,2,Colombia,769,['7ea88741-ed90-48cf-8c6a-e13539e42a74'],2,,,,,,,,,,,,,,,,,Colombia,769,00:00:02.114,Pass,
,,,,,,,,,,,,,,,1.196774,,,,,,,,,,,,,,3600c43e-72f3-4282-82ce-bad242742eb4,11,,,"[51.1, 57.4]",3942416,0,,,,,1.8195869,,Left Foot,,,,"[46.4, 75.9]",,Ground Pass,,19.087692,,,,Daniel Muñoz Mejía,27423.0,,,,,,1,From Kick Off,Richard Rios Montoya,49395.0,Right Center Midfield,2,Colombia,769,['6f0a7cf9-273b-4e17-b400-44a9f1b296a9'],3,,,,,,,,,,,,,,,,,Colombia,769,00:00:03.987,Pass,
,,,,,,,,,,,,,,,1.349295,,,,,,,,,,,,,,8e9cb96f-30e0-435e-93db-1d7e789592c2,14,,,"[44.9, 75.3]",3942416,0,,,,,-2.199904,,Right Foot,,,,"[31.0, 56.2]",,Ground Pass,,23.622446,,,,Davinson Sánchez Mina,3494.0,,,,,,1,From Kick Off,Daniel Muñoz Mejía,27423.0,Right Back,2,Colombia,769,['9d0c8970-6243-48d4-a291-581d88f7d337'],6,,,,,,,,,,,,,,,,,Colombia,769,00:00:06.239,Pass,
