player_id,player_name,player_nickname,jersey_number,country,cards,positions
3014,Júnior Osmar Ignacio Alonso Mujica,Júnior Alonso,6,Paraguay,[],[]
10290,Fabián Cornelio Balbuena González,Fabián Balbuena,5,Paraguay,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
12603,Miguel Ángel Almirón Rejala,Miguel Almirón,10,Paraguay,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '58:01', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
12758,Alejandro Romero Gamarra,Kaku,17,Paraguay,[],[]
24611,Carlos Miguel Coronel,Carlos Coronel,1,Paraguay,[],[]
25107,Gustavo Raúl Gómez Portillo,Gustavo Gómez,15,Paraguay,[],[]
26306,Adam Fernando Bareiro Gamarra,Adam Bareiro,9,Paraguay,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '78:46', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
26543,Derlis Alberto González Galeano,Derlis González,7,Paraguay,[],[]
27767,Matías Nicolás Rojas Romero,Matías Rojas,16,Paraguay,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '91:23', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
28657,Adrián Andrés Cubas,Andrés Cubas,14,Paraguay,"[{'time': '77:45', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '79:48', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '79:48', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
28943,Víctor Gustavo Velázquez Ramos,Gustavo Velázquez,25,Paraguay,"[{'time': '52:51', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
29009,Omar Federico Alderete Fernández,Omar Alderete,3,Paraguay,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
30795,Ángel Rodrigo Romero Villamayor,Ángel Romero,11,Paraguay,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '79:02', 'to': '79:48', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '79:48', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
31956,Richard Rafael Sánchez Guerrero,Richard Sánchez,20,Paraguay,[],[]
46677,Matías David Espinoza Acosta,,4,Paraguay,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
47112,Julio César Enciso Espínola,Julio Enciso,19,Paraguay,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '58:38', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '58:38', 'to': '79:48', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '79:48', 'to': '91:23', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
47149,Iván Rodrigo Ramírez Segovia,Iván Ramírez,2,Paraguay,[],[]
47173,Alfredo Ariel Aguilar,Alfredo Aguilar,12,Paraguay,[],[]
47186,Hernesto Ezequiel Caballero Benítez,Hernesto Caballero,26,Paraguay,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '57:53', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
62016,Rodrigo Mario Morínigo Acosta,,22,Paraguay,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
87429,Mathías Adalberto Villasanti Rolón,,23,Paraguay,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '79:02', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
87449,Damián Josué Bobadilla Benítez,,8,Paraguay,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '57:53', 'to': '79:48', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '79:48', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
87603,Ramón Sosa Acosta,Ramón Sosa,24,Paraguay,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '58:01', 'to': '58:38', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '58:38', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
170230,Alex Adrián Arce Barrios,,18,Paraguay,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '78:46', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
195989,Néstor Rafael Giménez Florentín,,13,Paraguay,[],[]
271776,Fabrizio José Peralta Ramírez,,21,Paraguay,[],[]
