player_id,player_name,player_nickname,jersey_number,country,cards,positions
3632,André Martín Carrillo Díaz,André Carrillo,18,Peru,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '78:13', 'to': '78:33', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '78:33', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5519,Christian Alberto Cueva Bravo,Christian Cueva,10,Peru,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '78:07', 'to': '78:33', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '78:33', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5521,Luis Jan Piers Advíncula Castrillón,Luis Advíncula,17,Peru,[],[]
5525,Édison Michael Flores Peralta,Edison Flores,20,Peru,[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '00:00', 'to': '61:51', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5528,Pedro David Gallese Quiróz,Pedro Gallese,1,Peru,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5535,José Paolo Guerrero Gonzáles,Paolo Guerrero,9,Peru,[],"[{'position_id': 22, 'position': 'Right Center Forward', 'from': '69:12', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
5738,Anderson Santamaría Bardales,Anderson Santamaría,4,Peru,[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '61:51', 'to': '62:07', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '62:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
6313,Wilder José Cartagena Mendoza,Wilder Cartagena,16,Peru,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '62:07', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '62:07', 'to': '78:33', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '78:33', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
7143,Gianluca Lapadula Vargas,,14,Peru,[],"[{'position_id': 22, 'position': 'Right Center Forward', 'from': '00:00', 'to': '69:12', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
10836,Sergio Fernando Peña Flores,Sergio Peña,8,Peru,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '62:07', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '62:07', 'to': '78:13', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
13435,Andy Jorman Polo Andrade,Andy Polo,7,Peru,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '78:33', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '78:33', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
15481,Alexander Martín Marquinho Callens Asín,Alexander Callens,22,Peru,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
23749,Marcos Johan López Lanfranco,Marcos López,6,Peru,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '78:33', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '78:33', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
28669,Luis Alfonso Abram Ugarelli,Luis Abram,2,Peru,[],[]
33176,Miguel Gianpierre Araujo Blanco,Miguel Araujo,15,Peru,"[{'time': '54:10', 'card_type': 'Red Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '54:10', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Foul Committed (Red Card)'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '62:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
35009,Aldo Sebastián Corzo Chávez,Aldo Corzo,3,Peru,[],[]
35017,Carlos Alberto Cáceda Oyaguez,,12,Peru,[],[]
35205,Jesús Abdallah Castillo Molina,Jesús Castillo,13,Peru,[],[]
36359,Carlos Augusto Zambrano Ochandarte,Carlos Zambrano,5,Peru,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': '78:07', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
37700,José Daniel Rivera Martínez,José Rivera,24,Peru,[],[]
41342,Joao Alberto Grimaldo Ubidia,Joao Grimaldo,25,Peru,[],[]
45377,Franco Zanelatto Téllez,Franco Zanelatto,26,Peru,[],[]
46083,Diego Alonso Romero Cachay,Diego Romero,21,Peru,[],[]
101509,Piero Aldair Quispe Córdova,Piero Quispe,23,Peru,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '61:44', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
111560,Brayan Roberto Reyna Casaverde,Bryan Reyna,11,Peru,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '61:44', 'to': '62:07', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '62:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
130731,Oliver Sonne,,19,Peru,[],[]
