player_id,player_name,player_nickname,jersey_number,country,cards,positions
21315,Bruno Miranda Villagomez,Bruno Miranda,19,Bolivia,[],[]
28949,Boris Cespedes,,16,Bolivia,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '82:34', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '82:34', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
37070,Luis Fernando Haquín Lopez,Luis Haquín,4,Bolivia,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
40037,Jaume Cuéllar Mendoza,,8,Bolivia,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '73:46', 'to': '82:34', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '82:34', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
47044,Adrian Jhonny Jusino Cerruto,,5,Bolivia,[],[]
47055,Roberto Carlos Fernández Toro,Roberto Fernández,17,Bolivia,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
47057,Guillermo Viscarra Bruckner,Guillermo Viscarra,23,Bolivia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
47131,Leonel Justiniano Arauz,Leonel Justiniano,6,Bolivia,[],[]
113710,Carlos Emilio Lampe Porras,,1,Bolivia,[],[]
113712,Rodrigo Luis Ramallo Cornejo,,18,Bolivia,[],[]
113715,Fernando Javier Saucedo Pereyra,,20,Bolivia,[],[]
113717,Carmelo Algarañaz Añez,,11,Bolivia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '81:47', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
113730,César Alejandro Menacho Claros,,9,Bolivia,[],[]
