player_id,player_name,player_nickname,jersey_number,country,cards,positions
3312,Demarai Gray,,7,England,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '00:00', 'to': '86:46', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
3317,Kasey Palmer,,14,Jamaica,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3349,Michail Antonio,,9,Jamaica,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '66:11', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
4610,Ethan Pinnock,,5,Jamaica,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
9923,Bobby Armani De Cordova-Reid,Bobby De Cordova-Reid,10,Jamaica,[],[]
13577,Wes Harding,,12,Jamaica,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '66:17', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
16768,Michael Hector,,3,Jamaica,"[{'time': '88:11', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
31455,Shamar Nicholson,,11,Jamaica,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '66:11', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
32685,Joël Latibeaudiere,Joel Latibeaudiere,15,Jamaica,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '66:39', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 7, 'position': 'Right Wing Back', 'from': '66:39', 'to': '86:49', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
33145,Di'Shon Bernard,Di'Shon Bernard,6,Jamaica,[],[]
33735,Kevon Jamar Lambert,,19,Jamaica,[],[]
49120,Damion Lowe,,17,Jamaica,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '66:39', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '66:39', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
61204,Dexter Lembikisa,,2,Jamaica,[],[]
74884,Coniah Boyce-Clarke,,13,Jamaica,[],[]
110050,Jonathan Bell,,21,United States of America,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
129288,Alex Marshall,,18,Jamaica,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '86:46', 'to': '87:13', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '87:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
135988,Richard Larkland King,,4,Jamaica,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '86:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
206048,Karoy Anderson,,16,Jamaica,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '66:17', 'to': '66:39', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '66:39', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
226523,Jahmali Waite,,23,Jamaica,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
405926,Renaldo Showayne Cephas,,20,Jamaica,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
435136,Shaquan Davis,,1,Jamaica,[],[]
435137,Kaheim Dixon,,8,Jamaica,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '45:00', 'to': '87:13', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '87:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
