player_id,player_name,player_nickname,jersey_number,country,cards,positions
21315,Bruno Miranda Villagomez,Bruno Miranda,19,Bolivia,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '62:41', 'to': '63:23', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '63:23', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
28949,Boris Cespedes,,16,Bolivia,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '63:19', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
37070,Luis Fernando Haquín Lopez,Luis Haquín,4,Bolivia,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': '63:23', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '63:23', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
40037,Jaume Cuéllar Mendoza,,8,Bolivia,[],[]
47044,Adrian Jhonny Jusino Cerruto,,5,Bolivia,[],[]
47055,Roberto Carlos Fernández Toro,Roberto Fernández,17,Bolivia,[],[]
47057,Guillermo Viscarra Bruckner,Guillermo Viscarra,23,Bolivia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
47131,Leonel Justiniano Arauz,Leonel Justiniano,6,Bolivia,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '63:19', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
113710,Carlos Emilio Lampe Porras,,1,Bolivia,[],[]
113712,Rodrigo Luis Ramallo Cornejo,,18,Bolivia,[],[]
113715,Fernando Javier Saucedo Pereyra,,20,Bolivia,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '80:23', 'to': '80:25', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '80:25', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
113717,Carmelo Algarañaz Añez,,11,Bolivia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '63:23', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '63:23', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
