player_id,player_name,player_nickname,jersey_number,country,cards,positions
4614,Antonee Robinson,,5,United States of America,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6806,Shaquell Moore,Shaq Moore,16,United States of America,[],[]
8246,Christian Pulisic,,10,United States of America,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '71:36', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '71:36', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8526,Weston McKennie,,8,United States of America,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '71:36', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '71:36', 'to': '78:35', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '78:35', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
12352,Matthew Charles Turner,Matt Turner,1,United States of America,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
12601,Miles Gordon Robinson,,12,United States of America,[],[]
12746,Sean Johnson,,25,United States of America,[],[]
12751,Tyler Adams,,4,United States of America,"[{'time': '15:34', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '88:37', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '88:37', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
15971,Cameron Carter-Vickers,,2,United States of America,[],[]
18242,Tim Ream,,13,United States of America,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '24:37', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 5, 'position': 'Left Center Back', 'from': '26:34', 'to': '88:32', 'from_period': 1, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Tactical)'}]"
18897,Mark McKenzie,,24,United States of America,[],[]
21201,Ethan Horvath,,18,United States of America,[],[]
