player_id,player_name,player_nickname,jersey_number,country,cards,positions
5581,Joel Nathaniel Campbell Samuels,Joel Campbell,12,Costa Rica,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '67:54', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5600,Francisco Javier Calvo Quesada,Francisco Calvo,15,Costa Rica,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '87:38', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '87:38', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
13367,Joseph Martín Mora Cortéz,Joseph Mora,8,Costa Rica,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '87:37', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
13433,Julio César Cascante Solórzano,Julio Cascante,6,Costa Rica,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '87:37', 'to': '87:38', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 5, 'position': 'Left Center Back', 'from': '87:38', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
19101,Ariel Lassiter,,11,Costa Rica,[],[]
27163,Juan Pablo Vargas Campos,Juan Pablo Vargas,4,Costa Rica,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
36253,Aarón Moisés Cruz Esquivel,Aaron Cruz,18,Costa Rica,[],[]
37092,Kevin José Chamorro Rodríguez,Kevin Chamorro,1,Costa Rica,[],[]
97291,Patrick Gilmar Sequeira Mejías,,23,Costa Rica,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
107355,Douglas Esteban Sequeira Borbón,,26,Costa Rica,[],[]
108329,Fernán José Faerrón Tristán,,5,Costa Rica,[],[]
108340,Brandon Aguilera Zamora,Brandon Aguilera,10,Costa Rica,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '67:54', 'to': '68:29', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '68:29', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
130193,Jefferson Brenes Rojas,,13,Costa Rica,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '68:29', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '68:29', 'to': '77:55', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
132257,Josimar Alcócer,,20,Costa Rica,"[{'time': '15:17', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '67:54', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
132296,Anthony Daniel Contreras Enríquez,,7,Costa Rica,"[{'time': '84:46', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 24, 'position': 'Left Center Forward', 'from': '77:56', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Final Whistle'}]"
132299,Yeison Molina Ruiz,,25,Costa Rica,[],[]
132510,Haxzel Quirós Cruz,,22,Costa Rica,[],[]
132516,Orlando Moisés Galo Calderón,,14,Costa Rica,"[{'time': '81:32', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '68:29', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '68:29', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
132746,Kenneth Vargas,,19,Costa Rica,[],[]
132755,Alejandro Jesús Bran Flores,,16,Costa Rica,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '77:55', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
