player_id,player_name,player_nickname,jersey_number,country,cards,positions
11187,Stephen Antunes Eustáquio,,7,Canada,[],[]
12365,Alphonso Davies,,19,Canada,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '61:15', 'to': '61:15', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 2, 'position': 'Right Back', 'from': '61:15', 'to': '66:26', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '66:26', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
12770,Jonathan Osorio,,21,Canada,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '76:13', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
12779,Samuel Piette,,6,Canada,[],[]
16120,Richie Laryea,,22,Canada,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '61:15', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '61:15', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
16459,Cyle Larin,,9,Canada,[],[]
18639,Mathieu Choiniere,Mathieu Choinière,24,Canada,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
23363,Liam Millar,,23,Canada,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '76:13', 'to': '76:13', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 17, 'position': 'Right Wing', 'from': '76:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
23640,Jonathan David,,10,Canada,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '66:25', 'to': '76:13', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '76:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
23758,Maxime Crépeau,,16,Canada,[],[]
