50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,32c3aaf4-6d3c-4847-98c7-67d8c4851c76,1,,,3939970,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 5528, 'name': 'Pedro David Gallese Quiróz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 33176, 'name': 'Miguel Gianpierre Araujo Blanco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 15481, 'name': 'Alexander Martín Marquinho Callens Asín'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 13435, 'name': 'Andy Jorman Polo Andrade'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 7}, {'player': {'id': 5521, 'name': 'Luis Jan Piers Advíncula Castrillón'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 6313, 'name': 'Wilder José Cartagena Mendoza'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10836, 'name': 'Sergio Fernando Peña Flores'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 101509, 'name': 'Piero Aldair Quispe Córdova'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 7143, 'name': 'Gianluca Lapadula Vargas'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 5525, 'name': 'Édison Michael Flores Peralta'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Peru,784,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,61ce2d6a-e64f-4c39-9ef7-9f2300c5d34f,2,,,3939970,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26256, 'name': 'Igor Lichnovsky Osorio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 31012, 'name': 'Paulo César Díaz Huincales'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 36212, 'name': 'Gabriel Alonso Suazo Urbina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 36532, 'name': 'Marcelino Ignacio Nuñez Espinoza'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 7175, 'name': 'Erick Antonio Pulgar Farfán'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 30944, 'name': 'Víctor Alejandro Dávila Zavala'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 26369, 'name': 'Diego Alfonso Valdés Contreras'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Chile,3562,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,46a4024a-3d63-40e5-bba4-434aa7a2bc34,3,,,3939970,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,['b5e2e9a8-060e-40d1-8f6a-6ee31327d39f'],0,,,,,,,,,,,,,,,,,Chile,3562,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b5e2e9a8-060e-40d1-8f6a-6ee31327d39f,4,,,3939970,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,['46a4024a-3d63-40e5-bba4-434aa7a2bc34'],0,,,,,,,,,,,,,,,,,Peru,784,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0e5cbbe4-661f-4ae4-bcac-20827544e543,1625,,,3939970,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Chile,3562,['a4dd2233-60ac-4c88-a624-05e86680170a'],0,,,,,,,,,,,,,,,,,Chile,3562,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a4dd2233-60ac-4c88-a624-05e86680170a,1626,,,3939970,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Chile,3562,['0e5cbbe4-661f-4ae4-bcac-20827544e543'],0,,,,,,,,,,,,,,,,,Peru,784,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.478722,,,,,,,,,,,,,ed46c3d9-bd50-40d8-92ff-6e1970833c29,5,,"[61.0, 40.1]",3939970,0,,,,2.732814,,Left Foot,,"[39.3, 49.5]",Ground Pass,,23.648468,,,,Miguel Gianpierre Araujo Blanco,33176.0,,,,,Kick Off,1,From Kick Off,Édison Michael Flores Peralta,5525.0,Left Center Forward,2,Peru,784,['2dc4ec15-7ac7-4fd6-a672-20f1224d990b'],0,,,,,,,,,,,,,,,,,Peru,784,00:00:00.325,Pass,
,,,,,,,,,,,,,,,,,0.199943,,,,,,,,,,,,,346399e9-783e-4041-b1e8-f067b24a3139,8,,"[41.0, 48.8]",3939970,0,,,,-0.41368923,,Right Foot,,"[45.1, 47.0]",High Pass,,4.4777226,,Incomplete,,,,,,,,,1,From Kick Off,Miguel Gianpierre Araujo Blanco,33176.0,Right Center Back,2,Peru,784,['866b25b2-51a5-4ed5-a635-22d91f4dee0f'],3,,,,,,,,,,,,,,,,,Peru,784,00:00:03.242,Pass,
,,,,,,,,,,,,,,,,,1.093129,,,,,,,,,,,,,dba904f4-b98a-4155-adfd-95baf63aed7d,10,,"[61.4, 47.9]",3939970,0,,,,-0.14727747,,Left Foot,,"[79.6, 45.2]",High Pass,,18.399185,,Incomplete,,Eduardo Jesús Vargas Rojas,27317.0,,,,,Recovery,1,From Kick Off,Víctor Alejandro Dávila Zavala,30944.0,Right Wing,2,Peru,784,"['984e2001-2dc2-4772-925b-c57bea602f90', 'c8d4b284-b500-47f1-85fc-e2d4141d790c']",5,,,,,,,,,,,,,,,,,Chile,3562,00:00:05.828,Pass,
,,,,,,,,,,,,,,,,,3.05533,,,,,,,,,,,,,984e2001-2dc2-4772-925b-c57bea602f90,12,,"[40.5, 34.9]",3939970,0,,,,-0.53647995,,Right Foot,,"[85.4, 8.2]",High Pass,,52.238873,,,,Luis Jan Piers Advíncula Castrillón,5521.0,,,,,Recovery,1,From Kick Off,Alexander Martín Marquinho Callens Asín,15481.0,Left Center Back,2,Peru,784,"['22854cef-5272-42af-9360-9c436f55376e', 'dba904f4-b98a-4155-adfd-95baf63aed7d']",6,,,,,,,,,,,,,,,,,Peru,784,00:00:06.921,Pass,
