50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ad9e32cb-fff7-4fd2-8fe7-bb2251ddf52a,1,,,,3939972,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 32677, 'name': 'Alexander Domínguez Carabalí'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 37737, 'name': 'Angelo Smit Preciado Quiñónez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 30111, 'name': 'Felix Eduardo Torres Caicedo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 41593, 'name': 'Willian Joel Pacho Tenorio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 37726, 'name': 'Moisés Isaac Caicedo Corozo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 37945, 'name': 'Alan Steven Franco Palma'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 21131, 'name': 'John Yeboah Zamora'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 384888, 'name': 'Ray Kendry Páez Andrade'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 40211, 'name': 'Jeremy Leonel Sarmiento Morante'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Ecuador,3565,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ab8f1bbf-05c3-4b86-acb5-a1b7a30f6d48,2,,,,3939972,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 32012, 'name': 'Rafael Enrique Romo Pérez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 24168, 'name': 'Alexander David González Sibulo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 49587, 'name': 'Nahuel Adolfo Ferraresi Hernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 10337, 'name': 'Yordan Hernando Osorio Paredes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 36520, 'name': 'Miguel Ángel Navarro Zárate'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 36917, 'name': 'José Andrés Martínez Torres'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 16249, 'name': 'Yangel Clemente Herrera Ravelo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 11501, 'name': 'Darwin Daniel Machís Marcano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 13493, 'name': 'Cristian Sleiker Cásseres Yepes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 25115, 'name': 'Yeferson Julio Soteldo Martínez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Venezuela,3563,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1540a3dc-4e14-47b9-b475-c7772243ef72,3,,,,3939972,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,['4be8eb6f-7ea8-48eb-912d-f422a6b77c07'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4be8eb6f-7ea8-48eb-912d-f422a6b77c07,4,,,,3939972,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,['1540a3dc-4e14-47b9-b475-c7772243ef72'],0,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,69ab8363-1109-4cd1-8719-b63b2b4f42d4,1486,,,,3939972,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Ecuador,3565,['b424e7bd-372a-4591-8f34-8e06102c1243'],0,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b424e7bd-372a-4591-8f34-8e06102c1243,1487,,,,3939972,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Ecuador,3565,['69ab8363-1109-4cd1-8719-b63b2b4f42d4'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.669696,,,,,,,,,,,,,f1be85ec-e2ef-48d1-800f-27ed0a466be7,5,,,"[61.0, 40.1]",3939972,0,,,,-2.810958,,Right Foot,,,,"[30.7, 29.7]",,Ground Pass,,32.035137,,,,Willian Joel Pacho Tenorio,41593.0,,,,Kick Off,1,From Kick Off,Enner Remberto Valencia Lastra,28559.0,Center Forward,2,Ecuador,3565,['3ef2195e-4f20-4665-9535-fd9a29b182f4'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.743,Pass,
,,,,,,,,,,,,,,,,,1.398823,,,,,,,,,,,,,1b65a96a-f572-438d-a016-6a9735eb84d5,8,,,"[32.0, 28.3]",3939972,0,,,,-1.2463576,,Left Foot,,,,"[39.5, 6.0]",,Ground Pass,,23.527431,,,,Piero Martín Hincapié Reyna,38004.0,,,,,1,From Kick Off,Willian Joel Pacho Tenorio,41593.0,Left Center Back,2,Ecuador,3565,['91a64889-2011-496a-b7d4-f787a7754c23'],3,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:03.706,Pass,
,,,,,,,,,,,,,,,,,1.305736,,,,,,,,,,,,,a6f1aa8c-efc0-4bfb-9d94-6f4659588673,11,,,"[31.6, 9.7]",3939972,0,,,,2.1189198,,Right Foot,,,,"[20.0, 28.7]",,Ground Pass,,22.261177,,,,Willian Joel Pacho Tenorio,41593.0,,,,,1,From Kick Off,Piero Martín Hincapié Reyna,38004.0,Left Back,2,Ecuador,3565,['3adc041e-ac43-40a5-8b83-9fb68fe81a6a'],6,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:06.733,Pass,
,,,,,,,,,,,,,,,,,1.360049,,,,,,,,,,,,,e8c988b7-1b93-446c-aece-575fd138bab0,14,,,"[19.2, 36.5]",3939972,0,,,,1.4542537,,Left Foot,,,,"[21.6, 57.0]",,Ground Pass,,20.640009,,,,Felix Eduardo Torres Caicedo,30111.0,,,,,1,From Kick Off,Willian Joel Pacho Tenorio,41593.0,Left Center Back,2,Ecuador,3565,['06a68aab-4bba-4f5d-b7fa-361bfefad987'],9,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:09.609,Pass,
