ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1187fdf4-979c-469d-9c83-b37a8dd03f4e,1,,,3939973,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 36710, 'name': 'Sergio Rochet Álvarez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5247, 'name': 'Nahitan Michel Nández Acosta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 32480, 'name': 'Ronald Federico Araújo da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7104, 'name': 'Mathías Olivera Miramontes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 34476, 'name': 'Matías Nicolás Viña Susperreguy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6773, 'name': 'Federico Santiago Valverde Dipetta'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 36659, 'name': 'Manuel Ugarte Ribeiro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 36288, 'name': 'Facundo Pellistri Rebollo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5258, 'name': 'Giorgian Daniel De Arrascaeta Benedetti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 35492, 'name': 'Maximiliano Javier Araújo Vilches'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 32478, 'name': 'Darwin Gabriel Núñez Ribeiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Uruguay,783,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f35793a4-c0d5-47a1-9ca1-0e654a2cb910,2,,,3939973,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 104179, 'name': 'Orlando Mosquera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 260212, 'name': 'Edgardo Isaac Fariña Wynter'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 223971, 'name': 'José Ángel Córdoba Chambers'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 22256, 'name': 'Roderick Alonso Miller Molina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5641, 'name': 'Michael Amir Murillo Bermudez'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 23}, {'player': {'id': 5634, 'name': 'Erick Javier Davis Grajales'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 16637, 'name': 'Christian Jesús Martinez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 47345, 'name': 'Adalberto Eliécer Carrasquilla Alcázar'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5637, 'name': 'Edgar Yoel Bárcenas Herrera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 91089, 'name': 'José Fajardo Nelson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Panama,798,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,168fff60-c8b8-4bae-9bff-11543d296b51,3,,,3939973,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['403e1c13-cf44-42ef-a412-b0b82bf2a55d'],0,,,,,,,,,,,,,,,,,Panama,798,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,403e1c13-cf44-42ef-a412-b0b82bf2a55d,4,,,3939973,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['168fff60-c8b8-4bae-9bff-11543d296b51'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b4bb7744-f9b2-48d1-b0b9-c8f6c9f906f6,1632,,,3939973,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,91,Uruguay,783,['01789a05-c6c8-4da2-a19a-7f94927e5c1d'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,01789a05-c6c8-4da2-a19a-7f94927e5c1d,1633,,,3939973,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,91,Uruguay,783,['b4bb7744-f9b2-48d1-b0b9-c8f6c9f906f6'],0,,,,,,,,,,,,,,,,,Panama,798,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,2.417899,,,,,,,,,,,ab77c801-2673-4203-9958-7193ef05db77,5,,"[61.0, 40.1]",3939973,0,,,,2.6718569,,Right Foot,,,"[34.8, 53.4]",,Ground Pass,,29.382479,,,,Ronald Federico Araújo da Silva,32480.0,,,,,,Kick Off,1,From Kick Off,Darwin Gabriel Núñez Ribeiro,32478.0,Center Forward,2,Uruguay,783,['dd85e289-152d-4df0-8878-f656e7e0dc1c'],1,,,,,,,,,,,,,,,,,Uruguay,783,00:00:01.049,Pass,
,,,,,,,,,,,,,,,1.737803,,,,,,,,,,,875d2e56-cf05-4df5-b08c-d347d280de07,8,,"[39.8, 55.6]",3939973,0,,,,-1.5106837,,Right Foot,,,"[41.1, 34.0]",,Ground Pass,,21.639086,,,,Mathías Olivera Miramontes,7104.0,,,,,,,1,From Kick Off,Ronald Federico Araújo da Silva,32480.0,Right Center Back,2,Uruguay,783,['6cfb1793-f3bf-4652-b59c-bf9e31721e9d'],5,,,,,,,,,,,,,,,,,Uruguay,783,00:00:05.111,Pass,
,,,,,,,,,,,,,,,1.428256,,,,,,,,,,,7e47c6aa-e280-48c9-aed6-fbe102fa12d2,12,,"[59.0, 24.6]",3939973,0,,,,-0.8902751,,Right Foot,,,"[69.2, 12.0]",,Ground Pass,,16.211107,,,,Matías Nicolás Viña Susperreguy,34476.0,,,,,,,1,From Kick Off,Mathías Olivera Miramontes,7104.0,Left Center Back,2,Uruguay,783,"['136cf86f-262d-4572-9fff-c864c8980f22', 'cb4ed8e9-501e-4ed6-8e40-237e982c0c59']",9,,,,,,,,,,,,,,,,,Uruguay,783,00:00:09.814,Pass,True
,,,,,,,,,,,,,,,0.877292,,,,,,,,,,,87986599-429b-4b43-a044-c45c0fda5e8c,15,,"[69.6, 11.2]",3939973,0,,,,-0.6556956,,Left Foot,,,"[78.7, 4.2]",,Ground Pass,,11.480854,,,,Maximiliano Javier Araújo Vilches,35492.0,,,,,,,1,From Kick Off,Matías Nicolás Viña Susperreguy,34476.0,Left Back,2,Uruguay,783,['41ab9e79-5d08-4335-9606-fb81ecdfdf42'],11,,,,,,,,,,,,,,,,,Uruguay,783,00:00:11.974,Pass,
,,,,,,,,,,,,,,,1.11029,,,,,,,,,,,c61b8fb3-d97b-401a-99ee-06f50b40f64c,22,,"[46.8, 68.6]",3939973,0,,,,-0.92905575,,Left Foot,,,"[53.6, 59.5]",,Ground Pass,,11.360018,,,,José Fajardo Nelson,91089.0,,,,,,,1,Regular Play,Michael Amir Murillo Bermudez,5641.0,Right Wing Back,3,Panama,798,['ba35557d-aedf-4238-9f8e-ae9550e41a4e'],14,,,,,,,,,,,,,,,,,Panama,798,00:00:14.985,Pass,
,,,,,,,,,,,,,,,0.572197,,,,,,,,,,,b9d201b9-da7c-4d71-b5ad-57911b04ff2a,24,,"[53.6, 59.5]",3939973,0,,,,-1.7928783,,Right Foot,,,"[52.2, 53.3]",,Ground Pass,,6.3560996,,,,Christian Jesús Martinez,16637.0,,,,,,,1,Regular Play,José Fajardo Nelson,91089.0,Center Forward,3,Panama,798,['acea99d9-2ef2-40e6-afb6-19f67b95150b'],16,,,,,,,,,,,,,,,,,Panama,798,00:00:16.095,Pass,
,,,,,,,,,,,,,,,1.708204,,,,,,,,,,,cbddac2e-9c35-4079-998d-f1a3e1693f79,32,,"[56.6, 39.4]",3939973,0,,,,2.5953448,,Right Foot,,,"[39.0, 50.1]",,Ground Pass,,20.59733,,,,Ronald Federico Araújo da Silva,32480.0,,,,,,,1,Regular Play,Manuel Ugarte Ribeiro,36659.0,Left Defensive Midfield,4,Uruguay,783,['81bca563-ae3b-4b8a-9f1b-4a7b7b7d9dc2'],20,,,,,,,,,,,,,,,,,Uruguay,783,00:00:20.760,Pass,
,,,,,,,,,,,,,,,2.068551,,,,,,,,,,,393d52af-070e-4eee-8d28-5cdf29630004,35,,"[42.9, 62.3]",3939973,0,,,,0.71589005,,Right Foot,,,"[59.8, 77.0]",,Ground Pass,,22.39866,,,,Nahitan Michel Nández Acosta,5247.0,,,,,,,1,Regular Play,Ronald Federico Araújo da Silva,32480.0,Right Center Back,4,Uruguay,783,['8c41aa6f-1886-4e3a-b4eb-6f219c295f7a'],23,,,,,,,,,,,,,,,,,Uruguay,783,00:00:23.708,Pass,
,,,,,,,,,,,,,,,1.717784,,,,,,,,,,,72ac7325-82e3-480e-9ff6-7e868d4c8aec,39,,"[62.8, 76.4]",3939973,0,,,,-2.6295497,,Right Foot,,,"[49.1, 68.7]",,Ground Pass,,15.715597,,,,Ronald Federico Araújo da Silva,32480.0,,,,,,,1,Regular Play,Nahitan Michel Nández Acosta,5247.0,Right Back,4,Uruguay,783,"['0c967470-9a03-4879-8f83-cf9f13483842', '1cbf8edf-219a-4abf-9891-4925cdf34367']",27,,,,,,,,,,,,,,,,,Uruguay,783,00:00:27.525,Pass,True
,,,,,,,,,,,,,,,0.344905,,,,,,,,,,,92ccf472-74a3-4d6a-a9ed-5fb75b4a4d48,42,,"[57.4, 54.3]",3939973,0,,,,-0.4197569,,Right Foot,,,"[69.5, 48.9]",,Low Pass,,13.250283,,Incomplete,,Darwin Gabriel Núñez Ribeiro,32478.0,,,,,,,1,Regular Play,Ronald Federico Araújo da Silva,32480.0,Right Center Back,4,Uruguay,783,"['537305dc-9c11-4b4c-a2bc-b590f359d3e0', '9209bdd1-4df3-4ef8-845e-e9ac10e978b9']",33,,,,,,,,,,,,,,,,,Uruguay,783,00:00:33.479,Pass,
,,,,,,,,,,,,,,,1.412297,,,,,,,,,,,a9ab4c89-bf21-4d57-85c5-31086bf1f530,46,,"[29.7, 41.0]",3939973,0,,,,0.40353495,,Head,,,"[38.6, 44.8]",,High Pass,,9.677293,,Incomplete,,Christian Jesús Martinez,16637.0,,,,,,Recovery,1,Regular Play,José Ángel Córdoba Chambers,223971.0,Center Back,4,Uruguay,783,"['68ccf8cf-f914-47e4-af66-26db9e46acdc', '7c444b48-3bbc-41b7-964b-e67355e8dc03']",35,,,,,,,,,,,,,,,,,Panama,798,00:00:35.894,Pass,
,,,,,,,,,,,,,,,0.57492,,,,,,,,,,,68ccf8cf-f914-47e4-af66-26db9e46acdc,49,,"[81.5, 35.3]",3939973,0,,,True,2.7187388,,,,,"[75.5, 38.0]",,High Pass,,6.5795135,,,,Manuel Ugarte Ribeiro,36659.0,,,,,,Recovery,1,Regular Play,Federico Santiago Valverde Dipetta,6773.0,Right Defensive Midfield,4,Uruguay,783,"['31dff1f7-fcdd-4cc1-a34e-787df1d301a7', 'a9ab4c89-bf21-4d57-85c5-31086bf1f530', 'e50a3445-ec44-454d-9987-bda12c370a0e']",37,,,,,,,,,,,,,,,,,Uruguay,783,00:00:37.306,Pass,True
