50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4d17c3e5-46f1-4bf7-9147-7b8873691269,1,,,,3939975,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 27225, 'name': 'Camilo Andrés Vargas Gil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 27423, 'name': 'Daniel Muñoz Mejía'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 18855, 'name': 'Jhon Janer Lucumí Bonilla'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 49395, 'name': 'Richard Rios Montoya'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 27277, 'name': 'Jhon Adolfo Arias Andrade'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 28266, 'name': 'Rafael Santos Borré Amaury'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 27158, 'name': 'Luis Fernando Díaz Marulanda'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Colombia,769,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,532b3047-080b-447f-92af-82400bcc684f,2,,,,3939975,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 62016, 'name': 'Rodrigo Mario Morínigo Acosta'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 28943, 'name': 'Víctor Gustavo Velázquez Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 10290, 'name': 'Fabián Cornelio Balbuena González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 29009, 'name': 'Omar Federico Alderete Fernández'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 46677, 'name': 'Matías David Espinoza Acosta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 28657, 'name': 'Adrián Andrés Cubas'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 87429, 'name': 'Mathías Adalberto Villasanti Rolón'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 47186, 'name': 'Hernesto Ezequiel Caballero Benítez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 12603, 'name': 'Miguel Ángel Almirón Rejala'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 47112, 'name': 'Julio César Enciso Espínola'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 170230, 'name': 'Alex Adrián Arce Barrios'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Paraguay,3567,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,695f47fa-eff6-46d3-a959-bee30c8816d8,3,,,,3939975,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,['d9059869-462a-4cb8-bd8d-e00456a3c972'],0,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d9059869-462a-4cb8-bd8d-e00456a3c972,4,,,,3939975,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,['695f47fa-eff6-46d3-a959-bee30c8816d8'],0,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8da84eb0-df9d-4cfc-91bb-6377d83c7750,1506,,,,3939975,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Colombia,769,['97451f31-3aa7-47e3-ba3d-615d89af2c1a'],0,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,97451f31-3aa7-47e3-ba3d-615d89af2c1a,1507,,,,3939975,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Colombia,769,['8da84eb0-df9d-4cfc-91bb-6377d83c7750'],0,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.485909,,,,,,,,,,,,,a71d0cab-fe2a-433c-875a-b7d36c56efa4,5,,,"[60.0, 40.0]",3939975,0,,,,2.960793,,Right Foot,,,"[32.1, 45.1]",,Ground Pass,28.362299,,,,Fabián Cornelio Balbuena González,10290.0,,,,,Kick Off,1,From Kick Off,Hernesto Ezequiel Caballero Benítez,47186.0,Left Center Midfield,2,Paraguay,3567,['5f45aca0-0f5c-46ca-85b1-885bb06694e8'],0,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:00.998,Pass,
,,,,,,,,,,,,,,,,3.122793,,,,,,,,,,,,,d18406d0-fa5a-4dec-8955-b5e9c32fd06a,8,,,"[35.6, 48.3]",3939975,0,,,,-0.39410153,,Right Foot,,,"[97.4, 22.6]",,High Pass,66.930786,,,,Alex Adrián Arce Barrios,170230.0,,,,,,1,From Kick Off,Fabián Cornelio Balbuena González,10290.0,Right Center Back,2,Paraguay,3567,['d714dcc1-e093-4441-83aa-7a1293c8017d'],3,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:03.876,Pass,
,,,,,,,,,,,,,,,,0.987299,,,,,,,,,,,,,b006a34b-b9a2-4b71-bc36-16ca67582df7,10,,,"[97.4, 22.6]",3939975,0,,,True,-0.043138687,,,,,"[111.3, 22.0]",,High Pass,13.912944,,Incomplete,,,,,,,,,1,From Kick Off,Alex Adrián Arce Barrios,170230.0,Center Forward,2,Paraguay,3567,"['a7a103db-33dd-490e-83db-92e274a315ec', 'ad26e495-f531-4d8d-9b6c-9e89739b06b1']",6,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:06.999,Pass,True
,,,,,,,,,,,,,,,,1.919788,,,,,,,,,,,,,2b7c8a30-f4f7-48c8-8231-e5d20ebb6a04,16,,,"[79.2, 24.5]",3939975,0,,,True,-1.0625589,,,,,"[87.5, 9.6]",,High Pass,17.05579,,,,Matías David Espinoza Acosta,46677.0,,,,,Recovery,1,From Kick Off,Adrián Andrés Cubas,28657.0,Center Defensive Midfield,2,Paraguay,3567,"['3c806556-00d3-45ea-830d-2e4d21a72263', 'dc16f834-f124-474c-97b3-2f675bc3b2a8']",12,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:12.469,Pass,True
,,,,,,,,,,,,,,,,1.189924,,,,,,,,,,,,,4ea96f7f-a95c-4519-9ae8-a24f4eba09bf,20,,,"[89.5, 4.4]",3939975,0,,,,-0.06053202,,Left Foot,,,"[96.1, 4.0]",,Ground Pass,6.61211,,,,Julio César Enciso Espínola,47112.0,,,,,,1,From Kick Off,Matías David Espinoza Acosta,46677.0,Left Back,2,Paraguay,3567,"['69ea54c4-f149-4c7e-89db-fe96a5386e60', 'ca08e303-ab04-4b13-b4f4-efd357db37b6']",16,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:16.264,Pass,True
,,,,,,,,,,,,,,,,0.8392,,,,,,,,,,,,,e77aad19-0107-40f1-b5d3-535fc7fc6bf9,27,,,"[20.8, 76.5]",3939975,0,,,,-1.5120405,,Right Foot,,,"[21.4, 66.3]",,Ground Pass,10.217632,,,,Jefferson Andrés Lerma Solís,5678.0,,,,,,1,Regular Play,Daniel Muñoz Mejía,27423.0,Right Back,3,Colombia,769,['0a92e4f2-0845-4904-bfa6-f6a9e729269a'],19,,,,,,,,,,,,,,,,,Colombia,769,00:00:19.221,Pass,
,,,,,,,,,,,,,,,,0.996451,,,,,,,,,,,,,86482314-a614-4992-aaba-24692da53ebf,30,,,"[23.4, 67.3]",3939975,0,,,,0.5191461,,Right Foot,,,"[38.1, 75.7]",,Ground Pass,16.93074,,,,James David Rodríguez Rubio,5695.0,,,,,,1,Regular Play,Jefferson Andrés Lerma Solís,5678.0,Center Defensive Midfield,3,Colombia,769,['ca262269-5259-4508-bce8-30957505edea'],20,,,,,,,,,,,,,,,,,Colombia,769,00:00:20.813,Pass,
,,,,,,,,,,,,,,,,0.445938,,,,,,,,,,,,,dc3ad449-0a24-4f4e-9bb3-fc5391e6607f,34,,,"[39.0, 76.1]",3939975,0,,,,-0.515549,,Left Foot,,,"[45.0, 72.7]",,Ground Pass,6.8963757,,,,Richard Rios Montoya,49395.0,,,,,,1,Regular Play,James David Rodríguez Rubio,5695.0,Center Attacking Midfield,3,Colombia,769,"['376985bf-f445-484f-b54d-5cf599b14a03', 'e810d06e-183e-491e-936e-3ecc927353ec']",22,,,,,,,,,,,,,,,,,Colombia,769,00:00:22.531,Pass,True
