50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cef4fd69-584b-447d-9511-f56581af9dfb,1,,,,3939977,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chile,3562,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26256, 'name': 'Igor Lichnovsky Osorio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 31012, 'name': 'Paulo César Díaz Huincales'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 36212, 'name': 'Gabriel Alonso Suazo Urbina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 7175, 'name': 'Erick Antonio Pulgar Farfán'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 35738, 'name': 'Rodrigo Eduardo Echeverría Sáez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 204925, 'name': 'Darío Esteban Osorio Osorio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 30944, 'name': 'Víctor Alejandro Dávila Zavala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Chile,3562,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bf6dae10-a354-49a7-806a-6326cf04b559,2,,,,3939977,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chile,3562,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6909, 'name': 'Damián Emiliano Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 29201, 'name': 'Nahuel Molina Lucero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 20572, 'name': 'Cristian Gabriel Romero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 27768, 'name': 'Lisandro Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 38718, 'name': 'Enzo Fernandez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 20687, 'name': 'Nicolás Iván González'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Argentina,779,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f59208b-c809-4115-a21a-bc591997b569,3,,,,3939977,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chile,3562,['1adabdc8-2f49-4926-a0c9-0784435a8937'],0,,,,,,,,,,,,,,,,,,Chile,3562,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1adabdc8-2f49-4926-a0c9-0784435a8937,4,,,,3939977,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chile,3562,['1f59208b-c809-4115-a21a-bc591997b569'],0,,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0ff65d2d-8637-430d-b7ab-31ed76337387,2051,,,,3939977,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Argentina,779,['3c46db83-de5e-4aa3-9ab9-ba4061597320'],0,,,,,,,,,,,,,,,,,,Chile,3562,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3c46db83-de5e-4aa3-9ab9-ba4061597320,2052,,,,3939977,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Argentina,779,['0ff65d2d-8637-430d-b7ab-31ed76337387'],0,,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.08587,,,,,,,,,,,,,470b5061-2676-4fff-95ce-5a411f01a490,5,,,"[60.0, 40.0]",3939977,0,,,,-2.9694018,,Left Foot,,,"[50.8, 38.4]",Ground Pass,,9.338094,,,,Alexis Mac Allister,27886.0,,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,2,Argentina,779,['850930df-dcba-478c-a429-f5d0e3f891e5'],0,,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.343,Pass,
,,,,,,,,,,,,,,,,1.272906,,,,,,,,,,,,,afbb20b2-6fcc-466c-8bf6-2f605a0d8a69,8,,,"[49.5, 38.9]",3939977,0,,,,1.6188363,,Right Foot,,,"[49.0, 49.3]",Ground Pass,,10.412012,,,,Rodrigo Javier De Paul,7797.0,,,,,,,1,From Kick Off,Alexis Mac Allister,27886.0,Right Defensive Midfield,2,Argentina,779,['21b03fc1-f7a6-4def-99ee-a60056a3ee23'],2,,,,,,,,,,,,,,,,,,Argentina,779,00:00:02.420,Pass,
,,,,,,,,,,,,,,,,1.186401,,,,,,,,,,,,,c44c5eba-cdaa-45f6-a27c-9fd52b5f9a94,11,,,"[49.5, 51.1]",3939977,0,,,,3.050448,,Right Foot,,,"[30.9, 52.8]",Ground Pass,,18.677526,,,,Cristian Gabriel Romero,20572.0,,,,,,,1,From Kick Off,Rodrigo Javier De Paul,7797.0,Right Midfield,2,Argentina,779,['5f01133b-17d2-4b5e-9148-7fece7092124'],4,,,,,,,,,,,,,,,,,,Argentina,779,00:00:04.459,Pass,
,,,,,,,,,,,,,,,,0.849739,,,,,,,,,,,,,bf5e1996-5fd7-499d-b5aa-cce2d64497f6,15,,,"[35.1, 53.4]",3939977,0,,,,0.09966865,,Right Foot,,,"[44.1, 54.3]",Ground Pass,,9.0448885,,,,Rodrigo Javier De Paul,7797.0,,,,,,,1,From Kick Off,Cristian Gabriel Romero,20572.0,Right Center Back,2,Argentina,779,"['2b501ea2-ce8d-4862-b4f2-bd8e905d2f14', '86378313-0828-459c-a514-49d80cc3b088']",7,,,,,,,,,,,,,,,,,,Argentina,779,00:00:07.612,Pass,True
