50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,06aa5eec-003e-4f2a-a5f2-7f5aa15e9e2f,1,,,,3939979,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Venezuela,3563,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 32012, 'name': 'Rafael Enrique Romo Pérez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 113450, 'name': 'Jon Mikel Aramburu Mejías'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 49587, 'name': 'Nahuel Adolfo Ferraresi Hernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 10337, 'name': 'Yordan Hernando Osorio Paredes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 36520, 'name': 'Miguel Ángel Navarro Zárate'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 36917, 'name': 'José Andrés Martínez Torres'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 16249, 'name': 'Yangel Clemente Herrera Ravelo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 35785, 'name': 'Eduard Alexander Bello Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 13025, 'name': 'Jefferson David Savarino Quintero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 25115, 'name': 'Yeferson Julio Soteldo Martínez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Venezuela,3563,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1e1016b8-8f85-4a83-9152-5cc60908bc1b,2,,,,3939979,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Venezuela,3563,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 36949, 'name': 'Julio José González Vela-Alvizu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26406, 'name': 'Jorge Eduardo Sánchez Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26368, 'name': 'César Jasib Montes Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 26336, 'name': 'Johan Felipe Vásquez Ibarra'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 27896, 'name': 'Gerardo Daniel Arteaga Zamora'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 26386, 'name': 'Luis Francisco Romo Barrón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 15452, 'name': 'Carlos Uriel Antuna Romero'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 26297, 'name': 'Carlos Alberto Rodríguez Gómez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 28825, 'name': 'Luis Gerardo Chávez Magallón'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 35375, 'name': 'Julián Andrés Quiñones Quiñones'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 31053, 'name': 'Santiago Tomás Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Mexico,794,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2ded12bc-71d8-45dd-8f0e-257e31bab5a9,3,,,,3939979,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Venezuela,3563,['b2469991-2283-4e49-ae95-1f487cc8c7c1'],0,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b2469991-2283-4e49-ae95-1f487cc8c7c1,4,,,,3939979,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Venezuela,3563,['2ded12bc-71d8-45dd-8f0e-257e31bab5a9'],0,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3ca6b68f-40a9-4ef3-bd54-e62882053435,1735,,,,3939979,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Mexico,794,['63f6e5d2-9b89-4d7f-9439-bbfc47df7091'],0,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,63f6e5d2-9b89-4d7f-9439-bbfc47df7091,1736,,,,3939979,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Mexico,794,['3ca6b68f-40a9-4ef3-bd54-e62882053435'],0,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.239999,,,,,,,,,,,,,,,122f535e-f0ac-47b2-9725-d5c726aea147,5,,,"[60.0, 40.0]",3939979,0,,,,,-2.8654957,,Right Foot,,,,"[42.0, 34.9]",Ground Pass,,18.708553,,,Luis Francisco Romo Barrón,26386.0,,,,,,Kick Off,1,From Kick Off,Santiago Tomás Giménez,31053.0,Center Forward,2,Mexico,794,['bfa9d27b-f344-41ee-bab3-00139bac8ed1'],0,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.489,Pass,
,,,,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,,,72e3df3e-6160-4b3a-8b08-f2d352d93a95,8,,,"[42.0, 36.7]",3939979,0,,,,,-2.2220838,,Right Foot,,,,"[31.1, 22.4]",Ground Pass,,17.980545,,,Johan Felipe Vásquez Ibarra,26336.0,,,,,,,1,From Kick Off,Luis Francisco Romo Barrón,26386.0,Center Defensive Midfield,2,Mexico,794,['89f394b5-e34a-4c01-bf95-6759d637fe20'],3,,,,,,,,,,,,,,,,,Mexico,794,00:00:03.369,Pass,
,,,,,,,,,,,,,,,,,,1.359997,,,,,,,,,,,,,,,9d0531b8-f2fe-4e91-a560-11b1cd51a042,11,,,"[31.5, 23.8]",3939979,0,,,,,2.4865375,,Left Foot,,,,"[16.4, 35.4]",Ground Pass,,19.041271,,,Julio José González Vela-Alvizu,36949.0,,,,,,,1,From Kick Off,Johan Felipe Vásquez Ibarra,26336.0,Left Center Back,2,Mexico,794,['d9d6ddbb-0888-48cb-9f3e-78ad3ad54a0d'],6,,,,,,,,,,,,,,,,,Mexico,794,00:00:06.209,Pass,
,,,,,,,,,,,,,,,,,,1.319998,,,,,,,,,,,,,,,56e6dfe2-45d4-4a26-b154-c3abbc52d715,14,,,"[16.3, 36.8]",3939979,0,,,,,-1.2666651,,Right Foot,,,,"[20.6, 23.1]",Ground Pass,,14.35897,,,Johan Felipe Vásquez Ibarra,26336.0,,,,,,,1,From Kick Off,Julio José González Vela-Alvizu,36949.0,Goalkeeper,2,Mexico,794,['16888491-9259-43b2-a698-9ebd1d85aaad'],8,,,,,,,,,,,,,,,,,Mexico,794,00:00:08.689,Pass,
