50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,70b0bde4-67e3-4f54-a556-330fd6372002,1,,,,3939980,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 32677, 'name': 'Alexander Domínguez Carabalí'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 37737, 'name': 'Angelo Smit Preciado Quiñónez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 30111, 'name': 'Felix Eduardo Torres Caicedo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 41593, 'name': 'Willian Joel Pacho Tenorio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 37945, 'name': 'Alan Steven Franco Palma'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 37726, 'name': 'Moisés Isaac Caicedo Corozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 21131, 'name': 'John Yeboah Zamora'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 384888, 'name': 'Ray Kendry Páez Andrade'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 40211, 'name': 'Jeremy Leonel Sarmiento Morante'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 348757, 'name': 'Kevin José Rodríguez Cortez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Ecuador,3565,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8f421fec-d261-46f6-bdb2-e2893b20b204,2,,,,3939980,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 226523, 'name': 'Jahmali Waite'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 33145, 'name': ""Di'Shon Bernard""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 32685, 'name': 'Joël Latibeaudiere'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 4610, 'name': 'Ethan Pinnock'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 61204, 'name': 'Dexter Lembikisa'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3159, 'name': 'Gregory Leigh'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 22}, {'player': {'id': 49120, 'name': 'Damion Lowe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 3317, 'name': 'Kasey Palmer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 31455, 'name': 'Shamar Nicholson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 9923, 'name': 'Bobby Armani De Cordova-Reid'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Jamaica,2305,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e5f34da3-6c1a-46c6-84cf-ae18edbf60ac,3,,,,3939980,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,['1274d90b-2159-4aa6-8680-01c64c79bdf1'],0,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1274d90b-2159-4aa6-8680-01c64c79bdf1,4,,,,3939980,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,['e5f34da3-6c1a-46c6-84cf-ae18edbf60ac'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6e800970-acae-439f-a40b-6ff275d11716,1223,,,,3939980,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Ecuador,3565,['e76cb33d-9ba7-45c9-aee4-d89deb98d313'],0,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e76cb33d-9ba7-45c9-aee4-d89deb98d313,1224,,,,3939980,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Ecuador,3565,['6e800970-acae-439f-a40b-6ff275d11716'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.720449,,,,,,,,,,,,,,bd27aef5-9f5e-4995-a48e-3c2a8cfbb745,5,,,"[60.0, 40.0]",3939980,0,,,,,2.5812328,,Right Foot,,,"[49.8, 46.4]",Ground Pass,,12.0415945,,,Damion Lowe,49120.0,,,,,Kick Off,1,From Kick Off,Michail Antonio,3349.0,Center Forward,2,Jamaica,2305,['6e5ba3fb-92d3-475d-9018-eae973f83f74'],1,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:01.184,Pass,
,,,,,,,,,,,,,,,,,,,1.597381,,,,,,,,,,,,,,4f5a2c20-f1e7-4f44-aec8-e8ecf5e53898,8,,,"[49.5, 46.9]",3939980,0,,,,,-2.0313385,,Right Foot,,,"[36.7, 21.1]",Ground Pass,,28.800694,,,Ethan Pinnock,4610.0,,,,,,1,From Kick Off,Damion Lowe,49120.0,Right Defensive Midfield,2,Jamaica,2305,['7b201e89-dfc8-4f3b-9c8d-1c980e8fc710'],2,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:02.485,Pass,
,,,,,,,,,,,,,,,,,,,4.455635,,,,,,,,,,,,,,57ca9692-52ea-43ab-af42-6452dd73721a,11,,,"[38.1, 17.1]",3939980,0,,,,,0.862301,,Left Foot,,,"[92.0, 80.0]",High Pass,,82.83489,Out,,,,,True,,,,1,From Kick Off,Ethan Pinnock,4610.0,Left Center Back,2,Jamaica,2305,,5,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:05.480,Pass,
,,,,,,,,,,,,,,,,,,,1.528277,,,,,,,,,,,,,,b30c7a1a-9764-4a05-a659-d836f8363a0d,12,,,"[28.1, 0.1]",3939980,0,,,,,2.4863734,,,,,"[7.8, 15.7]",Low Pass,,25.601757,,,Willian Joel Pacho Tenorio,41593.0,,,,,Throw-in,1,From Throw In,Piero Martín Hincapié Reyna,38004.0,Left Back,3,Ecuador,3565,['954b4148-4e5c-4dde-b8c5-04307034ba96'],24,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:24.596,Pass,
