50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dd12556f-f04a-49fe-a585-7921a25daf86,1,,,,3939982,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 36710, 'name': 'Sergio Rochet Álvarez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5247, 'name': 'Nahitan Michel Nández Acosta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 32480, 'name': 'Ronald Federico Araújo da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7104, 'name': 'Mathías Olivera Miramontes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 34476, 'name': 'Matías Nicolás Viña Susperreguy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 36659, 'name': 'Manuel Ugarte Ribeiro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6773, 'name': 'Federico Santiago Valverde Dipetta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 36288, 'name': 'Facundo Pellistri Rebollo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 28729, 'name': 'Diego Nicolás De La Cruz Arcosa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 35492, 'name': 'Maximiliano Javier Araújo Vilches'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 32478, 'name': 'Darwin Gabriel Núñez Ribeiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Uruguay,783,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,98411396-dbbb-4c3a-a6e2-39a6ef204587,2,,,,3939982,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 47057, 'name': 'Guillermo Viscarra Bruckner'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 398489, 'name': 'Héctor Manuel Cuellar Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 37070, 'name': 'Luis Fernando Haquín Lopez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 114003, 'name': 'José Manuel Sagredo Chávez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 367353, 'name': 'Yomar Rene Rocha Rodriguez'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 25}, {'player': {'id': 47055, 'name': 'Roberto Carlos Fernández Toro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 28949, 'name': 'Boris Cespedes'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 113732, 'name': 'Gabriel Alejandro Villamíl Cortéz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 336796, 'name': 'Miguel Ángel Terceros'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 113995, 'name': 'Ramiro Vaca Ponce'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 113717, 'name': 'Carmelo Algarañaz Añez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Bolivia,3564,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8f142f79-12d5-4471-8df7-9874d02ac986,3,,,,3939982,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['43849661-5a85-4a48-9d1f-a1dced59fc88'],0,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,43849661-5a85-4a48-9d1f-a1dced59fc88,4,,,,3939982,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['8f142f79-12d5-4471-8df7-9874d02ac986'],0,,,,,,,,,,,,,,,,,,,Bolivia,3564,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8b53f491-a4e8-424d-92a5-0effefaa6322,1770,,,,3939982,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Uruguay,783,['b0a3cf9c-0e98-4d33-a4b3-74ab3530c7e6'],0,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b0a3cf9c-0e98-4d33-a4b3-74ab3530c7e6,1771,,,,3939982,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Uruguay,783,['8b53f491-a4e8-424d-92a5-0effefaa6322'],0,,,,,,,,,,,,,,,,,,,Bolivia,3564,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.019546,,,,,,,,,,,,,31009754-3d20-4a61-9d4e-5ab790992db1,5,,,"[60.0, 40.0]",3939982,0,,,,,3.0591354,,Left Foot,,,,"[47.9, 41.0]",,Ground Pass,,12.141252,,,,Boris Cespedes,28949.0,,,,,,Kick Off,1,From Kick Off,Carmelo Algarañaz Añez,113717.0,Center Forward,2,Bolivia,3564,['11d523b4-2b6f-4de7-8479-fd9eb173dbcf'],0,,,,,,,,,,,,,,,,,,,Bolivia,3564,00:00:00.484,Pass,
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,c32e0038-c604-4aff-a266-135c72286fd7,8,,,"[45.4, 40.1]",3939982,0,,,,,-2.5930433,,Right Foot,,,,"[36.4, 34.6]",,Ground Pass,,10.547511,,,,Luis Fernando Haquín Lopez,37070.0,,,,,,,1,From Kick Off,Boris Cespedes,28949.0,Right Defensive Midfield,2,Bolivia,3564,['86601be7-584d-42f9-819a-55d39faf5c0e'],2,,,,,,,,,,,,,,,,,,,Bolivia,3564,00:00:02.005,Pass,
,,,,,,,,,,,,,,,,1.747438,,,,,,,,,,,,,fa103a20-78d2-4151-a8af-e6ee81dd3578,11,,,"[35.2, 36.6]",3939982,0,,,,,1.8064902,,Right Foot,,,,"[29.1, 62.0]",,Ground Pass,,26.122213,,,,Héctor Manuel Cuellar Rosales,398489.0,,,,,,,1,From Kick Off,Luis Fernando Haquín Lopez,37070.0,Center Back,2,Bolivia,3564,['da007c73-aa25-4010-b725-f297a79eb883'],4,,,,,,,,,,,,,,,,,,,Bolivia,3564,00:00:04.382,Pass,
,,,,,,,,,,,,,,,,4.194978,,,,,,,,,,,,,cbe24645-3a31-42b5-bd1c-91b88d7aac33,14,,,"[33.0, 69.6]",3939982,0,,,,,-0.45654994,,Right Foot,,,,"[83.9, 44.6]",,High Pass,,56.70811,,,,Carmelo Algarañaz Añez,113717.0,,,,,,,1,From Kick Off,Héctor Manuel Cuellar Rosales,398489.0,Right Center Back,2,Bolivia,3564,['3b539674-e4f7-4d9d-a9e5-57f021c23fcb'],8,,,,,,,,,,,,,,,,,,,Bolivia,3564,00:00:08.150,Pass,
