50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4e6ea111-6eb6-489e-9a7f-c957b6e97bdc,1,,,,3939983,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paraguay,3567,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 62016, 'name': 'Rodrigo Mario Morínigo Acosta'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 28943, 'name': 'Víctor Gustavo Velázquez Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 10290, 'name': 'Fabián Cornelio Balbuena González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 29009, 'name': 'Omar Federico Alderete Fernández'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 46677, 'name': 'Matías David Espinoza Acosta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 28657, 'name': 'Adrián Andrés Cubas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 87429, 'name': 'Mathías Adalberto Villasanti Rolón'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 87449, 'name': 'Damián Josué Bobadilla Benítez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 47112, 'name': 'Julio César Enciso Espínola'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 12603, 'name': 'Miguel Ángel Almirón Rejala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 170230, 'name': 'Alex Adrián Arce Barrios'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Paraguay,3567,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0a9df094-e23b-4026-aa78-71996a6f0583,2,,,,3939983,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paraguay,3567,,0,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 13620, 'name': 'Éder Gabriel Militão'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8212, 'name': 'Wendell Nascimento Borges'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 25142, 'name': 'Bruno Guimarães Rodriguez Moura'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 48720, 'name': 'João Victor Gomes da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 44455, 'name': 'Sávio Moreira de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 22600, 'name': 'Lucas Tolentino Coelho de Lima'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 25104, 'name': 'Rodrygo Silva de Goes'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 18395, 'name': 'Vinícius José Paixão de Oliveira Júnior'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31ae2879-ce99-4b43-95a8-20d0de958716,3,,,,3939983,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paraguay,3567,['d86a7348-7a7c-47f9-9d63-e12108c1bc98'],0,,,,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d86a7348-7a7c-47f9-9d63-e12108c1bc98,4,,,,3939983,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paraguay,3567,['31ae2879-ce99-4b43-95a8-20d0de958716'],0,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,865cbb8a-c5ba-4d8d-b5c4-cbc59b913c49,1972,,,,3939983,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,86,Paraguay,3567,['f2f3b905-5f55-4cdf-8740-04afde438523'],0,,,,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f2f3b905-5f55-4cdf-8740-04afde438523,1973,,,,3939983,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,86,Paraguay,3567,['865cbb8a-c5ba-4d8d-b5c4-cbc59b913c49'],0,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,2.123459,,,,,,,,,,,,,20de73d5-afbf-46da-9b92-6e371bebaf1d,5,,,"[61.0, 40.1]",3939983,0,,,,,-3.037552,,Right Foot,,,,"[36.1, 37.5]",Ground Pass,,25.035376,,,Omar Federico Alderete Fernández,29009.0,,,,,Kick Off,1,From Kick Off,Julio César Enciso Espínola,47112.0,Center Attacking Midfield,2,Paraguay,3567,['85de8d6a-e0c9-4a38-ae4b-6c04c470cdc2'],0,,,,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:00.693,Pass,
,,,,,,,,,,,,,,,,,,,,2.860127,,,,,,,,,,,,,11e1076e-ba4b-4dda-ad2a-17db3a4537da,8,,,"[36.4, 36.9]",3939983,0,,,,,0.38369516,,Left Foot,,,,"[90.4, 58.7]",High Pass,,58.234356,,,Alex Adrián Arce Barrios,170230.0,,,,,,1,From Kick Off,Omar Federico Alderete Fernández,29009.0,Left Center Back,2,Paraguay,3567,['b49efd5c-9f6e-40b9-9b98-5b660748aa75'],3,,,,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:03.737,Pass,
,,,,,,,,,,,,,,,,,,,,0.039999,,,,,,,,,,,,,2028ae38-b041-4ed4-a06e-2da6b5ff0f65,11,,,"[90.4, 58.7]",3939983,0,,,,True,0.07677189,,,,,,"[91.7, 58.8]",High Pass,,1.3038405,Incomplete,,Julio César Enciso Espínola,47112.0,,,,,,1,From Kick Off,Alex Adrián Arce Barrios,170230.0,Center Forward,2,Paraguay,3567,"['1c46e878-9738-4eee-9891-91a9e029bb5a', '5e15e1d0-adb5-496a-8324-0518285aa4af', 'b5d36d03-b673-4f5e-acd2-8e155c0048ea']",6,,,,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:06.597,Pass,True
,,,,,,,,,,,,,,,,,,,,0.659499,,,,,,,,,,,,,519678f0-270f-4c9c-a9c7-1cf1889e0f32,20,,,"[49.3, 1.0]",3939983,0,,,,,0.04474623,,Left Foot,,,,"[62.7, 1.6]",Ground Pass,,13.413426,,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,,,1,From Kick Off,Wendell Nascimento Borges,8212.0,Left Back,2,Paraguay,3567,['349139f0-6a7a-45aa-9f12-e21ee771c6a9'],12,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:12.562,Pass,
