50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,89ce4725-de93-43b0-ab49-b72447fb4cb9,1,,,,3939984,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 27225, 'name': 'Camilo Andrés Vargas Gil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 27423, 'name': 'Daniel Muñoz Mejía'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 28567, 'name': 'Carlos Eccehomo Cuesta Figueroa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 49395, 'name': 'Richard Rios Montoya'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 27277, 'name': 'Jhon Adolfo Arias Andrade'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8817, 'name': 'Jhon Andrés Córdoba Copete'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 27158, 'name': 'Luis Fernando Díaz Marulanda'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Colombia,769,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d34820fa-874e-4c51-89d4-4f735b3d0721,2,,,,3939984,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 97291, 'name': 'Patrick Gilmar Sequeira Mejías'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 143385, 'name': 'Jeyland Yahir Mitchell Baltodano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 27163, 'name': 'Juan Pablo Vargas Campos'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 5600, 'name': 'Francisco Javier Calvo Quesada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 132510, 'name': 'Haxzel Quirós Cruz'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 19101, 'name': 'Ariel Lassiter'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 132516, 'name': 'Orlando Moisés Galo Calderón'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 108340, 'name': 'Brandon Aguilera Zamora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 184468, 'name': 'Álvaro José Zamora Mata'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 154895, 'name': 'Warren Steven Madrigal Molina'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 36251, 'name': 'Manfred Ugalde'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Costa Rica,795,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,281f486c-bcfa-41ff-8e3f-1cc4d094ba0e,3,,,,3939984,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,['f257e247-e3ab-4501-893d-f411275227d3'],0,,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f257e247-e3ab-4501-893d-f411275227d3,4,,,,3939984,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,['281f486c-bcfa-41ff-8e3f-1cc4d094ba0e'],0,,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e8f3d0ff-d659-44c5-9cb7-981b3d19fac1,1288,,,,3939984,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Colombia,769,['97e8ff1d-0e23-4c9f-976b-c2b3c3f45c66'],0,,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,97e8ff1d-0e23-4c9f-976b-c2b3c3f45c66,1289,,,,3939984,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Colombia,769,['e8f3d0ff-d659-44c5-9cb7-981b3d19fac1'],0,,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,2.023769,,,,,,,,,,,,,,41b43fc1-1d9b-454d-beb1-fefbc4195577,5,,,"[60.0, 40.0]",3939984,0,,,,,-2.7788117,,Right Foot,,,"[21.8, 25.5]",,Ground Pass,,40.859394,,,,Francisco Javier Calvo Quesada,5600.0,,,,,Kick Off,1,From Kick Off,Álvaro José Zamora Mata,184468.0,Right Attacking Midfield,2,Costa Rica,795,['3c7ee20b-2374-4e50-8831-041b82f3284f'],0,,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.911,Pass,
,,,,,,,,,,,,,,,,3.045778,,,,,,,,,,,,,,a4adeda9-5bd9-4532-8723-7e76fdf1f89d,8,,,"[23.4, 25.8]",3939984,0,,,,,0.38473022,,Left Foot,,,"[88.6, 52.2]",,High Pass,,70.34202,,Incomplete,,Manfred Ugalde,36251.0,,,,,,1,From Kick Off,Francisco Javier Calvo Quesada,5600.0,Left Center Back,2,Costa Rica,795,"['3befb80d-c749-4d1e-a9e7-10bf5bee2e47', 'dc5c6286-3cc8-4a1c-be9c-88c0fd2952cb']",4,,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:04.902,Pass,
,,,,,,,,,,,,,,,,0.751175,,,,,,,,,,,,,,dc5c6286-3cc8-4a1c-be9c-88c0fd2952cb,11,,,"[31.5, 27.9]",3939984,0,,,,True,-0.1638082,,,,,"[43.6, 25.9]",,Low Pass,,12.264175,,,,Jhon Adolfo Arias Andrade,27277.0,,,,,Recovery,1,Regular Play,Carlos Eccehomo Cuesta Figueroa,28567.0,Left Center Back,3,Colombia,769,"['a4adeda9-5bd9-4532-8723-7e76fdf1f89d', 'e58b0ea9-4d3a-4059-b297-ae79c7fd0faa', 'fd5f5c47-cd47-46e9-9aba-02121b3b887b']",7,,,,,,,,,,,,,,,,,,Colombia,769,00:00:07.947,Pass,True
,,,,,,,,,,,,,,,,1.249954,,,,,,,,,,,,,,ff716720-b392-460a-a38c-b7ec0a57cef3,15,,,"[41.8, 9.5]",3939984,0,,,,,-1.060308,,Right Foot,,,"[46.0, 2.0]",,Ground Pass,,8.595929,,,,Luis Fernando Díaz Marulanda,27158.0,,,,,,1,Regular Play,Jhon Adolfo Arias Andrade,27277.0,Left Center Midfield,3,Colombia,769,"['0945400c-2d57-4e9c-a342-9d5e9b384e55', '70fcf63c-a59f-4b2f-be9e-c4b0bf30c3da']",11,,,,,,,,,,,,,,,,,,Colombia,769,00:00:11.292,Pass,True
