50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b96617d6-e914-4996-8aca-8d5435a0e412,1,,,3939987,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Jamaica,2305,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 226523, 'name': 'Jahmali Waite'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 32685, 'name': 'Joël Latibeaudiere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 16768, 'name': 'Michael Hector'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 4610, 'name': 'Ethan Pinnock'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 13577, 'name': 'Wes Harding'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 110050, 'name': 'Jonathan Bell'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 49120, 'name': 'Damion Lowe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 3317, 'name': 'Kasey Palmer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 405926, 'name': 'Renaldo Showayne Cephas'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3312, 'name': 'Demarai Gray'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Jamaica,2305,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,79bc9e31-57f2-4818-9874-044a93f1d06a,2,,,3939987,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Jamaica,2305,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 32012, 'name': 'Rafael Enrique Romo Pérez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 24168, 'name': 'Alexander David González Sibulo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 10337, 'name': 'Yordan Hernando Osorio Paredes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 47822, 'name': 'Wilker José Ángel Romero'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 113450, 'name': 'Jon Mikel Aramburu Mejías'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 36917, 'name': 'José Andrés Martínez Torres'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 35785, 'name': 'Eduard Alexander Bello Gil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 190172, 'name': 'Telasco José Segovia Pérez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 16249, 'name': 'Yangel Clemente Herrera Ravelo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 11501, 'name': 'Darwin Daniel Machís Marcano'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Venezuela,3563,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ff63a8b7-4f49-43b2-aee3-f812184657e6,3,,,3939987,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Jamaica,2305,['08db433b-4e4d-419a-a564-69c5ce40e22e'],0,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,08db433b-4e4d-419a-a564-69c5ce40e22e,4,,,3939987,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Jamaica,2305,['ff63a8b7-4f49-43b2-aee3-f812184657e6'],0,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7c4bc484-75a1-43f5-a116-b9f5226e012a,1465,,,3939987,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,86,Venezuela,3563,['5b58a433-0f66-4370-93a1-006988777378'],0,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5b58a433-0f66-4370-93a1-006988777378,1466,,,3939987,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,86,Venezuela,3563,['7c4bc484-75a1-43f5-a116-b9f5226e012a'],0,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.531428,,,,,,,,,,,,2adc3596-9cbc-46bc-b2f3-0927c4abb201,5,,"[61.0, 40.1]",3939987,0,,,,-3.065845,,Right Foot,,,,"[38.6, 38.4]",,Ground Pass,,22.464417,,,,Ethan Pinnock,4610.0,,,,,Kick Off,1,From Kick Off,Kasey Palmer,3317.0,Left Defensive Midfield,2,Jamaica,2305,['6d91c808-d9ed-4c1c-abd8-440ed2545591'],0,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:00.769,Pass,
,,,,,,,,,,,,,,,1.18025,,,,,,,,,,,,e1ba290e-7970-47ca-910d-dea7e2224da8,8,,"[37.3, 40.3]",3939987,0,,,,1.7309513,,Left Foot,,,,"[35.2, 53.3]",,Ground Pass,,13.168523,,,,Michael Hector,16768.0,,,,,,1,From Kick Off,Ethan Pinnock,4610.0,Left Center Back,2,Jamaica,2305,['586e2f69-ad89-401c-b3a7-197f2ec7268d'],3,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:03.256,Pass,
,,,,,,,,,,,,,,,1.309153,,,,,,,,,,,,2ea9e268-e788-400a-8181-be1af3034d26,11,,"[30.3, 61.3]",3939987,0,,,,0.5995567,,Right Foot,,,,"[52.1, 76.2]",,Ground Pass,,26.405493,,,,Wes Harding,13577.0,,,,,,1,From Kick Off,Michael Hector,16768.0,Center Back,2,Jamaica,2305,['1eabd84f-691b-41d4-9aeb-ba2560e6567d'],5,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:05.923,Pass,
,,,,,,,,,,,,,,,1.840179,,,,,,,,,,,,ff68c02a-62c3-41a2-bf74-977aedef6708,14,,"[51.2, 74.8]",3939987,0,,,,-2.1541128,,Right Foot,,,,"[34.9, 50.1]",,Ground Pass,,29.59358,,,,Ethan Pinnock,4610.0,,,,,,1,From Kick Off,Wes Harding,13577.0,Right Wing Back,2,Jamaica,2305,['b22d4deb-b2f2-4b1b-b112-1042bdd81d95'],9,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:09.294,Pass,
