50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,812e3ae8-9403-402b-8c85-2763d001d190,1,,,,3939988,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 36949, 'name': 'Julio José González Vela-Alvizu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26406, 'name': 'Jorge Eduardo Sánchez Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26368, 'name': 'César Jasib Montes Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 26336, 'name': 'Johan Felipe Vásquez Ibarra'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 27896, 'name': 'Gerardo Daniel Arteaga Zamora'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 26386, 'name': 'Luis Francisco Romo Barrón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 27889, 'name': 'César Saúl Huerta Valera'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 26280, 'name': 'Orbelín Pineda Alvarado'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 28825, 'name': 'Luis Gerardo Chávez Magallón'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 35375, 'name': 'Julián Andrés Quiñones Quiñones'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 31053, 'name': 'Santiago Tomás Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Mexico,794,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6940089b-73ef-4f21-b43d-aff401d940e2,2,,,,3939988,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 32677, 'name': 'Alexander Domínguez Carabalí'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 37737, 'name': 'Angelo Smit Preciado Quiñónez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 30111, 'name': 'Felix Eduardo Torres Caicedo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 41593, 'name': 'Willian Joel Pacho Tenorio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 37945, 'name': 'Alan Steven Franco Palma'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 37726, 'name': 'Moisés Isaac Caicedo Corozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 384888, 'name': 'Ray Kendry Páez Andrade'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 40211, 'name': 'Jeremy Leonel Sarmiento Morante'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 348757, 'name': 'Kevin José Rodríguez Cortez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 13}]}",Ecuador,3565,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,febeeb2e-63e0-4aa5-8020-4a04595a854a,3,,,,3939988,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,['ab82e3d0-267a-4981-b851-c0f91db09f84'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ab82e3d0-267a-4981-b851-c0f91db09f84,4,,,,3939988,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,['febeeb2e-63e0-4aa5-8020-4a04595a854a'],0,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8e310ed1-a35f-420f-b5cb-474afe43a5b1,1543,,,,3939988,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Mexico,794,['be1ba2fb-24fa-436e-88a5-15348090b663'],0,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,be1ba2fb-24fa-436e-88a5-15348090b663,1544,,,,3939988,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Mexico,794,['8e310ed1-a35f-420f-b5cb-474afe43a5b1'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.228396,,,,,,,,,,,,104a0d3b-98a9-4d25-8555-863ed9fd6bca,5,,,"[61.0, 40.1]",3939988,0,,,,3.1248345,,Right Foot,,,,"[43.1, 40.4]",Ground Pass,,17.902514,,,Luis Francisco Romo Barrón,26386.0,,,,,,Kick Off,1,From Kick Off,Santiago Tomás Giménez,31053.0,Center Forward,2,Mexico,794,['b303fb6e-d3a8-4506-9059-58b44e8c5706'],0,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.689,Pass,
,,,,,,,,,,,,,,,,,1.664781,,,,,,,,,,,,ea9990e4-89c3-44df-8202-b6e9f7789a1d,8,,,"[42.0, 43.1]",3939988,0,,,,2.585837,,Left Foot,,,,"[32.5, 49.0]",Ground Pass,,11.1830225,,,César Jasib Montes Castro,26368.0,,,,,,,1,From Kick Off,Luis Francisco Romo Barrón,26386.0,Center Defensive Midfield,2,Mexico,794,['e0d3a5ba-d019-4af2-a2bf-e9d723f5025a'],2,,,,,,,,,,,,,,,,,Mexico,794,00:00:02.478,Pass,
,,,,,,,,,,,,,,,,,1.972031,,,,,,,,,,,,c81592a3-cfc4-4cfb-84b5-24ce5bac697f,10,,,"[32.5, 49.0]",3939988,0,,,,-1.3756379,,Right Foot,,,,"[37.6, 23.2]",Ground Pass,,26.29924,,,Johan Felipe Vásquez Ibarra,26336.0,,,,,,,1,From Kick Off,César Jasib Montes Castro,26368.0,Right Center Back,2,Mexico,794,['2a349e1c-aee8-4b1a-b267-2700de71a813'],4,,,,,,,,,,,,,,,,,Mexico,794,00:00:04.143,Pass,
,,,,,,,,,,,,,,,,,1.942986,,,,,,,,,,,,a0b5de14-8549-47e8-82e0-1a95d0e53a5b,13,,,"[35.0, 23.6]",3939988,0,,,,2.5291479,,Left Foot,,,,"[15.5, 37.3]",Ground Pass,,23.831491,,,Julio José González Vela-Alvizu,36949.0,,,,,,,1,From Kick Off,Johan Felipe Vásquez Ibarra,26336.0,Left Center Back,2,Mexico,794,['e3b66ea3-9f0e-4916-b8b3-5facbeb70c6b'],6,,,,,,,,,,,,,,,,,Mexico,794,00:00:06.809,Pass,
,,,,,,,,,,,,,,,,,1.255525,,,,,,,,,,,,1d10391d-bec4-42b7-bcbc-ebf5f23e75b2,16,,,"[15.3, 37.4]",3939988,0,,,,-1.2204821,,Right Foot,,,,"[21.0, 21.8]",Ground Pass,,16.608732,,,Johan Felipe Vásquez Ibarra,26336.0,,,,,,,1,From Kick Off,Julio José González Vela-Alvizu,36949.0,Goalkeeper,2,Mexico,794,['bf254de0-0351-4cd9-9936-4d870a6de807'],10,,,,,,,,,,,,,,,,,Mexico,794,00:00:10.577,Pass,
,,,,,,,,,,,,,,,,,2.131638,,,,,,,,,,,,11d50814-7c3d-453d-8425-8f71a3a21d59,20,,,"[27.3, 22.0]",3939988,0,,,,0.13713014,,Left Foot,,,,"[80.2, 29.3]",High Pass,,53.40131,Incomplete,,Santiago Tomás Giménez,31053.0,,,,,,,1,From Kick Off,Johan Felipe Vásquez Ibarra,26336.0,Left Center Back,2,Mexico,794,"['88b74278-cbac-421c-9371-67fa15a3eb3a', 'c21005ba-cc45-46e1-84d0-2c4225b9723b', 'c8e7bbcf-ef4e-44a4-a61e-409106b6a725']",13,,,,,,,,,,,,,,,,,Mexico,794,00:00:13.397,Pass,True
,,,,,,,,,,,,,,,,,4.192292,,,,,,,,,,,,88b74278-cbac-421c-9371-67fa15a3eb3a,22,,,"[39.9, 50.8]",3939988,0,,,,0.31121406,,Right Foot,,,,"[99.9, 70.1]",High Pass,,63.02769,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Felix Eduardo Torres Caicedo,30111.0,Right Center Back,2,Mexico,794,"['11d50814-7c3d-453d-8425-8f71a3a21d59', 'da206bcb-99ed-4c09-8dca-1aed52f46259']",15,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:15.529,Pass,
