50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3188cf2d-d836-4c00-b1c3-e3f8b0800ca6,1,,,,3939992,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 97291, 'name': 'Patrick Gilmar Sequeira Mejías'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 143385, 'name': 'Jeyland Yahir Mitchell Baltodano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 27163, 'name': 'Juan Pablo Vargas Campos'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 5600, 'name': 'Francisco Javier Calvo Quesada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 193965, 'name': 'Gerald Taylor'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 13367, 'name': 'Joseph Martín Mora Cortéz'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 8}, {'player': {'id': 132516, 'name': 'Orlando Moisés Galo Calderón'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 130193, 'name': 'Jefferson Brenes Rojas'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 154895, 'name': 'Warren Steven Madrigal Molina'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 132257, 'name': 'Josimar Alcócer'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 5581, 'name': 'Joel Nathaniel Campbell Samuels'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Costa Rica,795,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2529c69b-4a23-429f-ba4d-a15428b3d6df,2,,,,3939992,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 62016, 'name': 'Rodrigo Mario Morínigo Acosta'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 28943, 'name': 'Víctor Gustavo Velázquez Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 10290, 'name': 'Fabián Cornelio Balbuena González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 29009, 'name': 'Omar Federico Alderete Fernández'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 195989, 'name': 'Néstor Rafael Giménez Florentín'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 87449, 'name': 'Damián Josué Bobadilla Benítez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 87429, 'name': 'Mathías Adalberto Villasanti Rolón'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 12603, 'name': 'Miguel Ángel Almirón Rejala'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 47112, 'name': 'Julio César Enciso Espínola'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 87603, 'name': 'Ramón Sosa Acosta'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 26306, 'name': 'Adam Fernando Bareiro Gamarra'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Paraguay,3567,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8276f744-bac5-4ec2-9fa2-805fdc260728,3,,,,3939992,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,['01032e38-ea99-4d94-94e5-29299b76da0d'],0,,,,,,,,,,,,,,,,Paraguay,3567,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,01032e38-ea99-4d94-94e5-29299b76da0d,4,,,,3939992,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,['8276f744-bac5-4ec2-9fa2-805fdc260728'],0,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e311f168-c8d9-4638-810b-8cc46f4918a3,1473,,,,3939992,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,78,Costa Rica,795,['a4ba0d1d-c663-42e3-82d0-1d7dc74f4673'],0,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a4ba0d1d-c663-42e3-82d0-1d7dc74f4673,1474,,,,3939992,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,78,Costa Rica,795,['e311f168-c8d9-4638-810b-8cc46f4918a3'],0,,,,,,,,,,,,,,,,Paraguay,3567,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,2.422218,,,,,,,,,,,,,4bca56fa-27d4-455d-bdee-242c16bb26f8,5,,,"[60.0, 40.0]",3939992,0,,,,,-2.8041365,,Right Foot,,,,"[25.8, 28.0]",,Ground Pass,,36.24417,,,,Francisco Javier Calvo Quesada,5600.0,,,,Kick Off,1,From Kick Off,Joel Nathaniel Campbell Samuels,5581.0,Center Forward,2,Costa Rica,795,['d3e861ee-45f9-4c89-a16c-f79ea048c4aa'],0,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.040,Pass,
,,,,,,,,,,,,,,,,,2.968549,,,,,,,,,,,,,2fe13ba7-89a5-4ed5-bf96-71146b4adc26,8,,,"[30.0, 28.0]",3939992,0,,,,,0.722544,,Left Foot,,,,"[83.2, 74.9]",,High Pass,,70.92143,,,,Warren Steven Madrigal Molina,154895.0,,True,,,1,From Kick Off,Francisco Javier Calvo Quesada,5600.0,Left Center Back,2,Costa Rica,795,['8beb44fa-6d08-46ca-8e12-39cc32077e47'],4,,,,,,,,,,,,,,,,Costa Rica,795,00:00:04.305,Pass,
,,,,,,,,,,,,,,,,,1.448605,,,,,,,,,,,,,afbf5173-42ee-4cdf-bfad-b49c941356cd,11,,,"[83.2, 74.9]",3939992,0,,,,True,-0.7853982,,,,,,"[92.8, 65.3]",,High Pass,,13.57645,,,,Josimar Alcócer,132257.0,,,,,1,From Kick Off,Warren Steven Madrigal Molina,154895.0,Right Wing,2,Costa Rica,795,"['0cc4c37a-ab8e-4f38-a153-2a9c77f624ba', 'fc216a32-f4b0-47a3-8898-54185cfe2dd2']",7,,,,,,,,,,,,,,,,Costa Rica,795,00:00:07.274,Pass,True
,,,,,,,,,,,,,,,,,0.720252,,,,,,,,,,,,,e56ab5d1-eda7-4aed-be6a-cd65ea173fb4,15,,,"[91.4, 66.9]",3939992,0,,,,,2.2844226,,Right Foot,,,,"[84.3, 75.1]",,Ground Pass,,10.846659,,,,Warren Steven Madrigal Molina,154895.0,,,,,1,From Kick Off,Josimar Alcócer,132257.0,Left Wing,2,Costa Rica,795,['12ad4c06-91e6-49b4-9672-22daf88b770b'],10,,,,,,,,,,,,,,,,Costa Rica,795,00:00:10.088,Pass,
