50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_penalty_saved_to_post,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,10a8a719-f162-4403-888a-e0076854724b,1,,,,3942229,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Venezuela,3563,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 32012, 'name': 'Rafael Enrique Romo Pérez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 113450, 'name': 'Jon Mikel Aramburu Mejías'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 49587, 'name': 'Nahuel Adolfo Ferraresi Hernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 10337, 'name': 'Yordan Hernando Osorio Paredes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 36520, 'name': 'Miguel Ángel Navarro Zárate'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 13493, 'name': 'Cristian Sleiker Cásseres Yepes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 35785, 'name': 'Eduard Alexander Bello Gil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 36917, 'name': 'José Andrés Martínez Torres'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 16249, 'name': 'Yangel Clemente Herrera Ravelo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 25115, 'name': 'Yeferson Julio Soteldo Martínez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Venezuela,3563,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7b695fd7-1b7c-4792-bd89-789b5b911eac,2,,,,3942229,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Venezuela,3563,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23758, 'name': 'Maxime Crépeau'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 44703, 'name': 'Alistair Johnston'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 383250, 'name': 'Moise Bombito'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 23760, 'name': 'Derek Cornelius'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 12365, 'name': 'Alphonso Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 12770, 'name': 'Jonathan Osorio'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 11187, 'name': 'Stephen Antunes Eustáquio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 16120, 'name': 'Richie Laryea'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 23640, 'name': 'Jonathan David'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 26152, 'name': 'Jacob Shaffelburg'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 16459, 'name': 'Cyle Larin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Canada,1833,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,778c3b95-31c3-42d3-bf5f-5ec8e1c5452e,3,,,,3942229,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Venezuela,3563,['b6d529c2-624c-486f-b40e-b37bca59dbd4'],0,,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b6d529c2-624c-486f-b40e-b37bca59dbd4,4,,,,3942229,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Venezuela,3563,['778c3b95-31c3-42d3-bf5f-5ec8e1c5452e'],0,,,,,,,,,,,,,,,,,,Canada,1833,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4df5f2d0-2102-45b1-95c2-2bc012c73ee2,1638,,,,3942229,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Venezuela,3563,['7caba592-9263-4b8d-a9c5-fe12f5e7d725'],0,,,,,,,,,,,,,,,,,,Canada,1833,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7caba592-9263-4b8d-a9c5-fe12f5e7d725,1639,,,,3942229,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Venezuela,3563,['4df5f2d0-2102-45b1-95c2-2bc012c73ee2'],0,,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bec95759-679a-40f5-aef2-733400a61d92,3092,,,,3942229,120,,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,194,Canada,1833,['26910894-5f2e-4cc2-b91f-26147bca4b5c'],0,,,,,,,,,,,,,,,,,,Canada,1833,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,26910894-5f2e-4cc2-b91f-26147bca4b5c,3093,,,,3942229,120,,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,194,Canada,1833,['bec95759-679a-40f5-aef2-733400a61d92'],0,,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.636715,,,,,,,,,,,,90a894ba-0e43-4027-8027-b1c6a3fcff31,5,,,"[60.0, 40.0]",3942229,0,,,,0.8567056,,Right Foot,,,"[61.3, 41.5]",,Ground Pass,,1.9849433,,,,Jonathan David,23640.0,,,,,,Kick Off,1,From Kick Off,Cyle Larin,16459.0,Center Forward,2,Canada,1833,['4eb9b029-7bff-47fc-b3e5-261f750a0faf'],1,,,,,,,,,,,,,,,,,,Canada,1833,00:00:01.525,Pass,
,,,,,,,,,,,,,,,,,,,,,1.070335,,,,,,,,,,,,d5f0baab-7ded-4a48-bf19-7f6ba32997e4,8,,,"[61.6, 41.5]",3942229,0,,,,-1.0815133,,Right Foot,,,"[69.8, 26.1]",,Ground Pass,,17.447063,,,,Jacob Shaffelburg,26152.0,,,,,,,1,From Kick Off,Jonathan David,23640.0,Center Attacking Midfield,2,Canada,1833,['fd4a1ed5-584c-4d9f-8266-a77ebf838a5c'],2,,,,,,,,,,,,,,,,,,Canada,1833,00:00:02.634,Pass,
,,,,,,,,,,,,,,,,,,,,,2.185743,,,,,,,,,,,,6ec5dfa5-1cdf-4f7d-8c08-bdbaad6376c0,15,,,"[31.9, 80.0]",3942229,0,,,,-2.8978593,,,,,"[13.0, 75.3]",,Low Pass,,19.475626,,,,Nahuel Adolfo Ferraresi Hernández,49587.0,,,,,,Throw-in,1,From Throw In,Jon Mikel Aramburu Mejías,113450.0,Right Back,3,Venezuela,3563,['750a2233-f557-4048-bf3e-4d561f4f253c'],13,,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:13.332,Pass,
,,,,,,,,,,,,,,,,,,,,,1.780192,,,,,,,,,,,,cd51c964-e530-4db0-88b0-a42a7747c6a4,18,,,"[10.4, 74.8]",3942229,0,,,,-1.8534747,,Right Foot,,,"[3.4, 50.7]",,Ground Pass,,25.096016,,,,Rafael Enrique Romo Pérez,32012.0,,,,,,,1,From Throw In,Nahuel Adolfo Ferraresi Hernández,49587.0,Right Center Back,3,Venezuela,3563,['bc4b406b-893f-455c-8fdd-b1c76be63d60'],15,,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:15.846,Pass,
,,,,,,,,,,,,,,,,,,,,,2.155663,,,,,,,,,,,,6ecf097e-f925-44e6-9114-48ab390068e8,21,,,"[6.8, 45.9]",3942229,0,,,,-1.1945022,,Right Foot,,,"[14.9, 25.4]",,Ground Pass,,22.042233,,,,Yordan Hernando Osorio Paredes,10337.0,,,,,,,1,From Throw In,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,3,Venezuela,3563,['9572a07e-06f7-4c70-8fac-f506906b2078'],19,,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:19.685,Pass,
,,,,,,,,,,,,,,,,,,,,,2.373342,,,,,,,,,,,,a799ab4d-d105-4d12-8e15-938503ce7bf6,24,,,"[17.0, 25.4]",3942229,0,,,,1.6548086,,Left Foot,,,"[15.4, 44.4]",,Ground Pass,,19.06725,,,,Rafael Enrique Romo Pérez,32012.0,,,,,,,1,From Throw In,Yordan Hernando Osorio Paredes,10337.0,Left Center Back,3,Venezuela,3563,['9890a758-cb57-4565-96b0-d67331ad7272'],25,,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:25.393,Pass,
