player_id,player_name,player_nickname,jersey_number,country,cards,positions
21315,Bruno Miranda Villagomez,Bruno Miranda,19,Bolivia,[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '45:00', 'to': '66:56', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
28949,Boris Cespedes,,16,Bolivia,[],[]
37070,Luis Fernando Haquín Lopez,Luis Haquín,4,Bolivia,"[{'time': '30:08', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
40037,Jaume Cuéllar Mendoza,,8,Bolivia,[],[]
47044,Adrian Jhonny Jusino Cerruto,,5,Bolivia,[],[]
47055,Roberto Carlos Fernández Toro,Roberto Fernández,17,Bolivia,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '45:00', 'to': '74:44', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Injury)'}]"
47057,Guillermo Viscarra Bruckner,Guillermo Viscarra,23,Bolivia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
47131,Leonel Justiniano Arauz,Leonel Justiniano,6,Bolivia,"[{'time': '26:54', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
113710,Carlos Emilio Lampe Porras,,1,Bolivia,[],[]
113712,Rodrigo Luis Ramallo Cornejo,,18,Bolivia,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '45:00', 'to': '45:00', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '45:00', 'to': '75:22', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '75:22', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
