player_id,player_name,player_nickname,jersey_number,country,cards,positions
3063,Danilo Luiz da Silva,Danilo,2,Brazil,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
4372,Marcos Aoás Corrêa,Marquinhos,4,Brazil,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '85:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '85:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5547,Alisson Ramsés Becker,Alisson,1,Brazil,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6406,Gabriel dos Santos Magalhães,Gabriel,14,Brazil,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '85:47', 'to': '85:49', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 5, 'position': 'Left Center Back', 'from': '85:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
6574,Douglas Luiz Soares de Paulo,Douglas Luiz,18,Brazil,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '71:24', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
6846,Andreas Hoelgebaum Pereira,Andreas Pereira,19,Brazil,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '78:02', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
6919,Guilherme Antonio Arana Lopes,Guilherme Arana,16,Brazil,[],[]
8212,Wendell Nascimento Borges,Wendell,6,Brazil,"[{'time': '47:19', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 1}]","[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
10595,Raphael Dias Belloli,Raphinha,11,Brazil,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '71:02', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
11493,Gleison Bremer Silva Nascimento,Bremer,25,Brazil,[],[]
