player_id,player_name,player_nickname,jersey_number,country,cards,positions
3014,Júnior Osmar Ignacio Alonso Mujica,Júnior Alonso,6,Paraguay,[],[]
10290,Fabián Cornelio Balbuena González,Fabián Balbuena,5,Paraguay,"[{'time': '47:06', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 1}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
12603,Miguel Ángel Almirón Rejala,Miguel Almirón,10,Paraguay,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '13:13', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 21, 'position': 'Left Wing', 'from': '13:33', 'to': '76:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Tactical)'}]"
12758,Alejandro Romero Gamarra,Kaku,17,Paraguay,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '72:28', 'to': '84:07', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '84:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
24611,Carlos Miguel Coronel,Carlos Coronel,1,Paraguay,[],[]
25107,Gustavo Raúl Gómez Portillo,Gustavo Gómez,15,Paraguay,[],[]
26306,Adam Fernando Bareiro Gamarra,Adam Bareiro,9,Paraguay,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '72:27', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
26543,Derlis Alberto González Galeano,Derlis González,7,Paraguay,[],[]
27767,Matías Nicolás Rojas Romero,Matías Rojas,16,Paraguay,[],[]
28657,Adrián Andrés Cubas,Andrés Cubas,14,Paraguay,"[{'time': '80:52', 'card_type': 'Red Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '84:07', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '84:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
28943,Víctor Gustavo Velázquez Ramos,Gustavo Velázquez,25,Paraguay,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
29009,Omar Federico Alderete Fernández,Omar Alderete,3,Paraguay,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
30795,Ángel Rodrigo Romero Villamayor,Ángel Romero,11,Paraguay,[],[]
31956,Richard Rafael Sánchez Guerrero,Richard Sánchez,20,Paraguay,[],[]
46677,Matías David Espinoza Acosta,,4,Paraguay,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '72:27', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
