player_id,player_name,player_nickname,jersey_number,country,cards,positions
5581,Joel Nathaniel Campbell Samuels,Joel Campbell,12,Costa Rica,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '45:00', 'to': '45:00', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 23, 'position': 'Center Forward', 'from': '45:00', 'to': '65:43', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '65:43', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5600,Francisco Javier Calvo Quesada,Francisco Calvo,15,Costa Rica,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
13367,Joseph Martín Mora Cortéz,Joseph Mora,8,Costa Rica,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
13433,Julio César Cascante Solórzano,Julio Cascante,6,Costa Rica,[],[]
19101,Ariel Lassiter,,11,Costa Rica,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
27163,Juan Pablo Vargas Campos,Juan Pablo Vargas,4,Costa Rica,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
36251,Manfred Ugalde,,9,Costa Rica,"[{'time': '16:42', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
36253,Aarón Moisés Cruz Esquivel,Aaron Cruz,18,Costa Rica,[],[]
37092,Kevin José Chamorro Rodríguez,Kevin Chamorro,1,Costa Rica,[],[]
97291,Patrick Gilmar Sequeira Mejías,,23,Costa Rica,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
107355,Douglas Esteban Sequeira Borbón,,26,Costa Rica,[],[]
108329,Fernán José Faerrón Tristán,,5,Costa Rica,[],[]
108340,Brandon Aguilera Zamora,Brandon Aguilera,10,Costa Rica,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '65:07', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
130193,Jefferson Brenes Rojas,,13,Costa Rica,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '65:07', 'to': '65:43', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '65:43', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
132257,Josimar Alcócer,,20,Costa Rica,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '65:28', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
132296,Anthony Daniel Contreras Enríquez,,7,Costa Rica,[],[]
132299,Yeison Molina Ruiz,,25,Costa Rica,[],[]
132510,Haxzel Quirós Cruz,,22,Costa Rica,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
132516,Orlando Moisés Galo Calderón,,14,Costa Rica,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '65:43', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '65:43', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
132746,Kenneth Vargas,,19,Costa Rica,[],[]
132755,Alejandro Jesús Bran Flores,,16,Costa Rica,[],[]
143385,Jeyland Yahir Mitchell Baltodano,,3,Costa Rica,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
154895,Warren Steven Madrigal Molina,,17,Costa Rica,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '45:00', 'to': '82:14', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
184468,Álvaro José Zamora Mata,,21,Costa Rica,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '45:00', 'to': '65:28', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
193965,Gerald Taylor,,2,Costa Rica,[],[]
388549,Andy Rojas Maroto,Andy Maroto,24,Costa Rica,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '82:14', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
