player_id,player_name,player_nickname,jersey_number,country,cards,positions
3494,Davinson Sánchez Mina,Davinson Sánchez,23,Colombia,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
4276,David Ospina Ramírez,David Ospina,1,Colombia,[],[]
5678,Jefferson Andrés Lerma Solís,Jefferson Lerma,16,Colombia,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '71:06', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5691,Johan Andrés Mojica Palacio,Johan Mojica,17,Colombia,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5692,Juan Fernando Quintero Paniagua,Juan Fernando Quintero,20,Colombia,[],[]
5695,James David Rodríguez Rubio,James Rodríguez,10,Colombia,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '71:31', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5696,Santiago Arias Naranjo,Santiago Arias,4,Colombia,[],[]
6193,Andrés Mateus Uribe Villa,Mateus Uribe,15,Colombia,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '45:00', 'to': '71:31', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '71:31', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
6196,Yerry Fernando Mina González,Yerry Mina,13,Colombia,[],[]
6333,Miguel Ángel Borja Hernández,Miguel Borja,9,Colombia,[],[]
8817,Jhon Andrés Córdoba Copete,Jhon Córdoba,24,Colombia,"[{'time': '63:04', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 22, 'position': 'Right Center Forward', 'from': '00:00', 'to': '76:46', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
16184,Luis Fernando Sinisterra Lucumí,Luis Sinisterra,18,Colombia,[],[]
27158,Luis Fernando Díaz Marulanda,Luis Díaz,7,Colombia,[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '00:00', 'to': '76:23', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
27166,Álvaro David Montero Perales,Álvaro Montero,25,Colombia,[],[]
27225,Camilo Andrés Vargas Gil,Camilo Vargas,12,Colombia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
