player_id,player_name,player_nickname,jersey_number,country,cards,positions
11187,Stephen Antunes Eustáquio,,7,Canada,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
12365,Alphonso Davies,,19,Canada,"[{'time': '41:17', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '94:13', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '94:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
12770,Jonathan Osorio,,21,Canada,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
12779,Samuel Piette,,6,Canada,[],[]
16120,Richie Laryea,,22,Canada,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '75:28', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
16459,Cyle Larin,,9,Canada,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '75:22', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
18639,Mathieu Choiniere,Mathieu Choinière,24,Canada,[],[]
23363,Liam Millar,,23,Canada,"[{'time': '65:08', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 21, 'position': 'Left Wing', 'from': '64:14', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
23640,Jonathan David,,10,Canada,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '40:12', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '40:30', 'to': '94:13', 'from_period': 1, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Tactical)'}]"
23758,Maxime Crépeau,,16,Canada,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
23760,Derek Cornelius,,13,Canada,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '94:13', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 4, 'position': 'Center Back', 'from': '94:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
23828,Kamal Miller,,4,Canada,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '94:13', 'to': '94:13', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '94:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
24024,Tajon Buchanan,,17,Canada,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '75:28', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
25078,Thelonius Bair,Theo Bair,11,Canada,[],[]
26152,Jacob Shaffelburg,,14,Canada,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '19:10', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 21, 'position': 'Left Wing', 'from': '19:27', 'to': '64:14', 'from_period': 1, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Tactical)'}]"
35707,Joel Waterman,,5,Canada,[],[]
36794,Dayne Tristan St. Clair,Dayne St. Clair,1,Canada,[],[]
37027,Thomas McGill,Tom McGill,18,Canada,[],[]
44703,Alistair Johnston,,2,Canada,"[{'time': '56:44', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': '94:13', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 7, 'position': 'Right Wing Back', 'from': '94:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
133189,Luc Rollet De Fougerolles,,3,Canada,[],[]
133229,Ismael Koné,,8,Canada,[],[]
224603,Tanitoluwa Oluwaseyi,,25,Canada,"[{'time': '78:32', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 23, 'position': 'Center Forward', 'from': '75:22', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
224628,Ali Ahmed,,20,Canada,[],[]
224771,Kyle Hiebert,,26,Canada,[],[]
225215,Jacen Russell-Rowe,,12,Canada,[],[]
383250,Moise Bombito,,15,Canada,"[{'time': '06:14', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
