player_id,player_name,player_nickname,jersey_number,country,cards,positions
3632,André Martín Carrillo Díaz,André Carrillo,18,Peru,[],[]
5519,Christian Alberto Cueva Bravo,Christian Cueva,10,Peru,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '77:01', 'to': '77:14', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '77:14', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5521,Luis Jan Piers Advíncula Castrillón,Luis Advíncula,17,Peru,[],[]
5525,Édison Michael Flores Peralta,Edison Flores,20,Peru,"[{'time': '52:39', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '00:00', 'to': '20:39', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '20:39', 'to': '45:06', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '45:06', 'to': '55:34', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
5528,Pedro David Gallese Quiróz,Pedro Gallese,1,Peru,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5535,José Paolo Guerrero Gonzáles,Paolo Guerrero,9,Peru,"[{'time': '27:42', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '55:23', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5738,Anderson Santamaría Bardales,Anderson Santamaría,4,Peru,[],[]
6313,Wilder José Cartagena Mendoza,Wilder Cartagena,16,Peru,"[{'time': '35:10', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '20:39', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '20:39', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
7143,Gianluca Lapadula Vargas,,14,Peru,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '55:23', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
10836,Sergio Fernando Peña Flores,Sergio Peña,8,Peru,"[{'time': '93:10', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '20:39', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '20:39', 'to': '77:14', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '77:14', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
13435,Andy Jorman Polo Andrade,Andy Polo,7,Peru,[],[]
15481,Alexander Martín Marquinho Callens Asín,Alexander Callens,22,Peru,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '77:14', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '77:14', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
23749,Marcos Johan López Lanfranco,Marcos López,6,Peru,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '77:01', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
28669,Luis Alfonso Abram Ugarelli,Luis Abram,2,Peru,[],[]
35009,Aldo Sebastián Corzo Chávez,Aldo Corzo,3,Peru,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
35017,Carlos Alberto Cáceda Oyaguez,,12,Peru,[],[]
35205,Jesús Abdallah Castillo Molina,Jesús Castillo,13,Peru,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '45:00', 'to': '77:14', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '77:14', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
36359,Carlos Augusto Zambrano Ochandarte,Carlos Zambrano,5,Peru,"[{'time': '87:17', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': '77:14', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 5, 'position': 'Left Center Back', 'from': '77:14', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
37700,José Daniel Rivera Martínez,José Rivera,24,Peru,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '55:34', 'to': '77:14', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '77:14', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
41342,Joao Alberto Grimaldo Ubidia,Joao Grimaldo,25,Peru,[],[]
45377,Franco Zanelatto Téllez,Franco Zanelatto,26,Peru,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '62:40', 'to': '77:14', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '77:14', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
46083,Diego Alonso Romero Cachay,Diego Romero,21,Peru,[],[]
101509,Piero Aldair Quispe Córdova,Piero Quispe,23,Peru,[],[]
111560,Brayan Roberto Reyna Casaverde,Bryan Reyna,11,Peru,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '00:00', 'to': '20:39', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '20:39', 'to': '45:06', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '45:06', 'to': '62:40', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
130731,Oliver Sonne,,19,Peru,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '77:14', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '77:14', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
