player_id,player_name,player_nickname,jersey_number,country,cards,positions
15452,Carlos Uriel Antuna Romero,Uriel Antuna,15,Mexico,"[{'time': '93:46', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 12, 'position': 'Right Midfield', 'from': '67:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
26280,Orbelín Pineda Alvarado,Orbelín Pineda,17,Mexico,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '67:13', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
26297,Carlos Alberto Rodríguez Gómez,Carlos Alberto Rodríguez,8,Mexico,[],[]
26301,Ernesto Alexis Vega Rojas,Alexis Vega,10,Mexico,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '90:03', 'to': '90:04', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '90:04', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
26336,Johan Felipe Vásquez Ibarra,Johan Vásquez,5,Mexico,"[{'time': '81:13', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '62:05', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 5, 'position': 'Left Center Back', 'from': '62:36', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]"
26368,César Jasib Montes Castro,César Montes,3,Mexico,"[{'time': '05:30', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
26375,Roberto Carlos Alvarado Hernández,Roberto Alvarado,25,Mexico,[],[]
26385,Jordi Cortizo de la Piedra,Jordi Cortizo,16,Mexico,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '84:58', 'to': '90:04', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '90:04', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
26386,Luis Francisco Romo Barrón,Luis Romo,7,Mexico,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '67:14', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '67:14', 'to': '85:04', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
26406,Jorge Eduardo Sánchez Ramos,Jorge Sánchez,2,Mexico,"[{'time': '48:50', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
