player_id,player_name,player_nickname,jersey_number,country,cards,positions
5634,Erick Javier Davis Grajales,Erick Davis,15,Panama,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '73:56', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '73:56', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5637,Edgar Yoel Bárcenas Herrera,Édgar Yoel Bárcenas,10,Panama,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '73:56', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '73:56', 'to': '84:04', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '84:04', 'to': '89:42', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '89:42', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5641,Michael Amir Murillo Bermudez,Michael Murillo,23,Panama,"[{'time': '41:04', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5644,Ismael Díaz De León,Ismael Díaz,11,Panama,[],[]
16637,Christian Jesús Martinez,Christian Martínez,6,Panama,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '73:06', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
22256,Roderick Alonso Miller Molina,Roderick Miller,25,Panama,[],[]
34148,Carlos Miguel Harvey Cesneros,Carlos Harvey,16,Panama,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '73:20', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
35432,Abdiel Armando Ayarza Cocanegra,Abdiel Ayarza,5,Panama,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '73:06', 'to': '73:56', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '73:56', 'to': '89:42', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '89:42', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
36705,Luis Ricardo Mejía Cajar,Luis Mejía,1,Panama,[],[]
44305,César Rodolfo Blackman Camarena,César Blackman,2,Panama,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 7, 'position': 'Right Wing Back', 'from': '45:00', 'to': '73:56', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '73:56', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
50971,Eduardo Antonio Guerrero Lozcano,,9,Panama,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '73:20', 'to': '73:56', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '73:56', 'to': '84:04', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '84:04', 'to': '89:42', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '89:42', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
91089,José Fajardo Nelson,,17,Panama,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '73:56', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '73:56', 'to': '82:28', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Injury)'}]"
104179,Orlando Mosquera,,22,Panama,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
104181,César Augusto Yanis Velasco,,21,Panama,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '89:36', 'to': '89:42', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '89:42', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
