player_id,player_name,player_nickname,jersey_number,country,cards,positions
5246,Luis Alberto Suárez Díaz,Luis Suárez,9,Uruguay,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '88:16', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
5247,Nahitan Michel Nández Acosta,Nahitan Nández,8,Uruguay,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': '88:38', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 7, 'position': 'Right Wing Back', 'from': '88:38', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5258,Giorgian Daniel De Arrascaeta Benedetti,Giorgian De Arrascaeta,10,Uruguay,[],[]
5259,José María Giménez de Vargas,José Giménez,2,Uruguay,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '71:01', 'to': '71:37', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 5, 'position': 'Left Center Back', 'from': '71:37', 'to': '88:38', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 4, 'position': 'Center Back', 'from': '88:38', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5260,Rodrigo Bentancur Colmán,Rodrigo Bentancur,6,Uruguay,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '78:22', 'to': '88:38', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '88:38', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5264,Guillermo Varela Olivera,Guillermo Varela,13,Uruguay,[],[]
6773,Federico Santiago Valverde Dipetta,Federico Valverde,15,Uruguay,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7104,Mathías Olivera Miramontes,Mathías Olivera,16,Uruguay,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '71:37', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '71:37', 'to': '88:38', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '88:38', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
24730,Lucas René Olaza Catrofe,Lucas Olaza,24,Uruguay,[],[]
28729,Diego Nicolás De La Cruz Arcosa,Nicolás De La Cruz,7,Uruguay,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '78:22', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
30736,Paul Brian Rodríguez Bravo,Brian Rodríguez,18,Uruguay,[],[]
