player_id,player_name,player_nickname,jersey_number,country,cards,positions
3014,Júnior Osmar Ignacio Alonso Mujica,Júnior Alonso,6,Paraguay,[],[]
10290,Fabián Cornelio Balbuena González,Fabián Balbuena,5,Paraguay,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
12603,Miguel Ángel Almirón Rejala,Miguel Almirón,10,Paraguay,"[{'time': '32:49', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
12758,Alejandro Romero Gamarra,Kaku,17,Paraguay,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '73:19', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
24611,Carlos Miguel Coronel,Carlos Coronel,1,Paraguay,[],[]
25107,Gustavo Raúl Gómez Portillo,Gustavo Gómez,15,Paraguay,[],[]
26306,Adam Fernando Bareiro Gamarra,Adam Bareiro,9,Paraguay,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
26543,Derlis Alberto González Galeano,Derlis González,7,Paraguay,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '82:14', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
28943,Víctor Gustavo Velázquez Ramos,Gustavo Velázquez,25,Paraguay,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': '73:10', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
29009,Omar Federico Alderete Fernández,Omar Alderete,3,Paraguay,"[{'time': '27:33', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
30795,Ángel Rodrigo Romero Villamayor,Ángel Romero,11,Paraguay,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '45:00', 'to': '45:00', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 23, 'position': 'Center Forward', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
31956,Richard Rafael Sánchez Guerrero,Richard Sánchez,20,Paraguay,[],[]
47112,Julio César Enciso Espínola,Julio Enciso,19,Paraguay,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
47149,Iván Rodrigo Ramírez Segovia,Iván Ramírez,2,Paraguay,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '73:10', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
47173,Alfredo Ariel Aguilar,Alfredo Aguilar,12,Paraguay,[],[]
47186,Hernesto Ezequiel Caballero Benítez,Hernesto Caballero,26,Paraguay,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '45:00', 'to': '45:00', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 17, 'position': 'Right Wing', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
62016,Rodrigo Mario Morínigo Acosta,,22,Paraguay,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
87429,Mathías Adalberto Villasanti Rolón,,23,Paraguay,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '45:00', 'to': '73:19', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
87449,Damián Josué Bobadilla Benítez,,8,Paraguay,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '45:00', 'to': '82:14', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
87603,Ramón Sosa Acosta,Ramón Sosa,24,Paraguay,"[{'time': '47:34', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
195989,Néstor Rafael Giménez Florentín,,13,Paraguay,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
