player_id,player_name,player_nickname,jersey_number,country,cards,positions
12583,Carlos Armando Gruezo Arboleda,Carlos Gruezo,8,Ecuador,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '79:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
21131,John Yeboah Zamora,John Yeboah,9,Ecuador,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '79:00', 'to': '79:23', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '79:23', 'to': '86:59', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '86:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
28511,Ángel Israel Mena Delgado,Ángel Mena,15,Ecuador,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '79:01', 'to': '79:23', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '79:23', 'to': '86:59', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '86:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
28559,Enner Remberto Valencia Lastra,Enner Valencia,13,Ecuador,"[{'time': '29:23', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '79:01', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
30111,Felix Eduardo Torres Caicedo,Félix Torres,2,Ecuador,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
32677,Alexander Domínguez Carabalí,Alexander Domínguez,22,Ecuador,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
36148,José Adoni Cifuentes Charcopa,José Cifuentes,5,Ecuador,[],[]
37522,Hernán Ismael Galíndez,Hernán Galíndez,1,Ecuador,[],[]
37560,Janner Hitcler Corozo Alman,Janner Corozo,20,Ecuador,[],[]
37721,Julio Joao Ortiz Landázuri,Julio Ortiz,18,Ecuador,[],[]
37726,Moisés Isaac Caicedo Corozo,Moisés Caicedo,23,Ecuador,"[{'time': '74:36', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '53:51', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '54:39', 'to': '79:23', 'from_period': 2, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '79:23', 'to': '86:59', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '86:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
37737,Angelo Smit Preciado Quiñónez,Angelo Preciado,17,Ecuador,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
37742,Wellington Moisés Ramírez Preciado,Moisés Ramírez,12,Ecuador,[],[]
37945,Alan Steven Franco Palma,Alan Franco,21,Ecuador,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '86:25', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
38004,Piero Martín Hincapié Reyna,Piero Hincapié,3,Ecuador,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
40211,Jeremy Leonel Sarmiento Morante,Jeremy Sarmiento,16,Ecuador,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '75:41', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
41593,Willian Joel Pacho Tenorio,William Pacho,6,Ecuador,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
51969,Jackson Gabriel Porozo Vernaza,Jackson Porozo,25,Ecuador,[],[]
64207,José Andrés Hurtado Cheme,José Andrés Hurtado,24,Ecuador,[],[]
123554,Jordy Josué Caicedo Medina,,19,Ecuador,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '86:25', 'to': '86:59', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '86:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
123625,Alan Steve Minda García,,14,Ecuador,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '75:41', 'to': '75:51', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '75:51', 'to': '86:59', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '86:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
207619,Joel Leandro Ordóñez Guerrero,,4,Ecuador,[],[]
