player_id,player_name,player_nickname,jersey_number,country,cards,positions
4041,José Salomón Rondón Giménez,Salomón Rondón,23,Venezuela (Bolivarian Republic),[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '59:08', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '59:08', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
7475,Tomás Eduardo Rincón Hernández,Tomás Rincón,8,Venezuela (Bolivarian Republic),[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '90:57', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
10337,Yordan Hernando Osorio Paredes,Yordan Osorio,3,Venezuela (Bolivarian Republic),[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '91:05', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
11162,Jhonder Leonel Cádiz Fernández,Jhonder Cádiz,9,Venezuela (Bolivarian Republic),[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '59:08', 'to': '59:08', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '59:08', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
13025,Jefferson David Savarino Quintero,Jefferson Savarino,7,Venezuela (Bolivarian Republic),[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '83:06', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
13493,Cristian Sleiker Cásseres Yepes,Cristian Cásseres Jr.,18,Venezuela (Bolivarian Republic),[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '45:00', 'to': '59:08', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
16249,Yangel Clemente Herrera Ravelo,Yangel Herrera,6,Venezuela (Bolivarian Republic),[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '45:00', 'to': '59:08', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '59:08', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
23205,José David Contreras Verna,José Contreras,12,Venezuela (Bolivarian Republic),[],[]
24168,Alexander David González Sibulo,Alexander González,21,Venezuela (Bolivarian Republic),[],[]
25115,Yeferson Julio Soteldo Martínez,Yeferson Soteldo,10,Venezuela (Bolivarian Republic),[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '45:00', 'to': '59:08', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '59:08', 'to': '83:06', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
30747,Jhon Carlos Chancellor Cedeño,Jhon Chancellor,5,Venezuela (Bolivarian Republic),[],[]
32012,Rafael Enrique Romo Pérez,Rafael Romo,22,Venezuela (Bolivarian Republic),[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
35785,Eduard Alexander Bello Gil,Eduard Bello,25,Venezuela (Bolivarian Republic),[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '45:00', 'to': '59:08', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '59:08', 'to': '83:16', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
36147,Christian Frederick Bayoi Makoun Reyes,Christian Makoun,14,Venezuela (Bolivarian Republic),[],[]
36520,Miguel Ángel Navarro Zárate,Miguel Ángel Navarro,15,Venezuela (Bolivarian Republic),[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
36903,Joel David Graterol Nader,Joel Graterol,1,Venezuela (Bolivarian Republic),[],[]
36917,José Andrés Martínez Torres,José Martínez,13,Venezuela (Bolivarian Republic),[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '45:00', 'to': '90:57', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
44304,Eric Kleybel Ramírez Matheus,Eric Ramirez,19,Venezuela (Bolivarian Republic),[],[]
47822,Wilker José Ángel Romero,Wílker Ángel,20,Venezuela (Bolivarian Republic),[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '91:05', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
49587,Nahuel Adolfo Ferraresi Hernández,Nahuel Ferraresi,2,Venezuela (Bolivarian Republic),[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '48:47', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '49:03', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Player On (Off Camera)', 'end_reason': 'Final Whistle'}]"
109879,Daniel Alejandro Pereira Gil,,26,Venezuela (Bolivarian Republic),[],[]
113450,Jon Mikel Aramburu Mejías,,4,Venezuela (Bolivarian Republic),"[{'time': '93:11', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
