player_id,player_name,player_nickname,jersey_number,country,cards,positions
3494,Davinson Sánchez Mina,Davinson Sánchez,23,Colombia,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
4276,David Ospina Ramírez,David Ospina,1,Colombia,[],[]
5678,Jefferson Andrés Lerma Solís,Jefferson Lerma,16,Colombia,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '45:08', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '45:08', 'to': '75:19', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '75:19', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5691,Johan Andrés Mojica Palacio,Johan Mojica,17,Colombia,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '75:19', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '75:19', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5692,Juan Fernando Quintero Paniagua,Juan Fernando Quintero,20,Colombia,[],[]
5695,James David Rodríguez Rubio,James Rodríguez,10,Colombia,"[{'time': '54:43', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '45:08', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '45:08', 'to': '61:17', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
5696,Santiago Arias Naranjo,Santiago Arias,4,Colombia,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '45:00', 'to': '45:08', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '45:08', 'to': '75:19', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 7, 'position': 'Right Wing Back', 'from': '75:19', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
6193,Andrés Mateus Uribe Villa,Mateus Uribe,15,Colombia,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '60:45', 'to': '75:19', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '75:19', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
6196,Yerry Fernando Mina González,Yerry Mina,13,Colombia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '75:00', 'to': '75:19', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 4, 'position': 'Center Back', 'from': '75:19', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
6333,Miguel Ángel Borja Hernández,Miguel Borja,9,Colombia,[],[]
