player_id,player_name,player_nickname,jersey_number,country,cards,positions
3620,Scott McTominay,,4,Scotland,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '30:41', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '30:41', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3655,Andrew Robertson,,3,Scotland,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
9042,Greg Taylor,,24,Scotland,[],[]
9045,Zander Clark,,21,Scotland,[],[]
9466,Che Adams,,10,Scotland,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '30:41', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '30:41', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
9478,Kenneth McLean,,23,Scotland,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '66:37', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
9481,Grant Campbell Hanley,,5,Scotland,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '45:00', 'to': '45:00', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
9621,Liam Cooper,,16,Scotland,[],[]
9974,John McGinn,,7,Scotland,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '30:41', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '30:41', 'to': '66:37', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
10002,Scott McKenna,,26,Scotland,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '76:21', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
10008,Ryan Jack,,20,Scotland,[],[]
10285,Stuart Armstrong,,17,Scotland,[],[]
10534,Callum McGregor,,8,Scotland,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '30:41', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '30:41', 'to': '66:26', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
10536,James Forrest,,25,Scotland,[],[]
10540,Kieran Tierney,,6,Scotland,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '76:21', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
11116,Jack Hendry,,13,Scotland,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
11129,Ross McCrorie,,22,Scotland,[],[]
