player_id,player_name,player_nickname,jersey_number,country,cards,positions
4587,Matteo Darmian,,13,Italy,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '82:09', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
6957,Alex Meret,,26,Italy,[],[]
6963,Lorenzo Pellegrini,,10,Italy,"[{'time': '20:42', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '76:36', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
6979,Stephan El Shaarawy,,22,Italy,[],[]
6993,Bryan Cristante,,16,Italy,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '76:36', 'to': '76:53', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '76:53', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
7004,Gianluca Mancini,,17,Italy,[],[]
7024,Jorge Luiz Frello Filho,Jorginho,8,Italy,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7036,Gianluigi Donnarumma,,1,Italy,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7156,Federico Chiesa,,14,Italy,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '34:49', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 17, 'position': 'Right Wing', 'from': '35:09', 'to': '76:28', 'from_period': 1, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Tactical)'}]"
7480,Alessandro Bastoni,,23,Italy,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '53:02', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '53:28', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]"
8181,Nicolò Barella,,18,Italy,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '76:53', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '76:53', 'to': '91:31', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
8792,Mattia Zaccagni,,20,Italy,[],[]
10992,Gianluca Scamacca,,9,Italy,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '81:53', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
11514,Giovanni Di Lorenzo,,2,Italy,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
12255,Federico Dimarco,,3,Italy,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '82:09', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
23221,Alessandro Buongiorno,,4,Italy,[],[]
25048,Giacomo Raspadori,,11,Italy,[],[]
29965,Raoul Bellanova,,15,Italy,[],[]
30926,Davide Frattesi,,7,Italy,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
31093,Mateo Retegui,,19,Italy,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '81:53', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
31225,Guglielmo Vicario,,12,Italy,[],[]
38909,Nicolò Fagioli,,21,Italy,[],[]
41768,Riccardo Calafiori,,5,Italy,"[{'time': '50:00', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
49445,Michael Ijemuan Folorunsho,Michael Folorunsho,25,Italy,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '91:31', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
50729,Andrea Cambiaso,,24,Italy,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '76:28', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
133968,Federico Gatti,,6,Italy,[],[]
