player_id,player_name,player_nickname,jersey_number,country,cards,positions
3831,Dušan Tadić,,10,Serbia,"[{'time': '74:22', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 24, 'position': 'Left Center Forward', 'from': '60:02', 'to': '60:45', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '60:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
4269,Aleksandar Mitrović,,9,Serbia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '31:22', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '31:22', 'to': '60:02', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
5589,Sergej Milinković-Savić,,20,Serbia,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '00:00', 'to': '31:22', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '31:22', 'to': '60:45', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '60:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5591,Filip Kostić,,11,Serbia,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '41:44', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '42:55', 'to': '43:00', 'from_period': 1, 'to_period': 1, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Injury)'}]"
5603,Nikola Milenković,,4,Serbia,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6318,Andrija Živković,,14,Serbia,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '73:36', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
6319,Luka Jović,,8,Serbia,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '60:31', 'to': '60:45', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '60:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
6321,Milos Veljkovic,,13,Serbia,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6687,Saša Lukić,,22,Serbia,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '31:22', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '31:22', 'to': '48:55', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '48:55', 'to': '60:31', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
6901,Nemanja Maksimović,,5,Serbia,[],[]
7993,Filip Mladenović,,25,Serbia,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '43:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Final Whistle'}]"
8669,Mijat Gaćinović,,21,Serbia,[],[]
15731,Predrag Rajković,,1,Serbia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
16430,Uroš Spajić,,24,Serbia,[],[]
16489,Nemanja Gudelj,,6,Serbia,"[{'time': '38:04', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '31:22', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '31:22', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
18015,Dušan Vlahović,,7,Serbia,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '00:00', 'to': '31:22', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '31:22', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
18737,Srđan Babić,,15,Serbia,[],[]
20600,Vanja Milinković Savić,,23,Serbia,[],[]
27719,Strahinja Pavlović,,2,Serbia,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
28075,Veljko Birmančević,,26,Serbia,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '73:36', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
30179,Ivan Ilić,,17,Serbia,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '45:00', 'to': '48:55', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '48:55', 'to': '60:45', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '60:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
32565,Đorđe Petrović,,12,Serbia,[],[]
40735,Lazar Samardžić,,19,Serbia,[],[]
44280,Nemanja Stojić,,3,Serbia,[],[]
52089,Srđan Mijailović,,16,Serbia,[],[]
87237,Petar Ratkov,,18,Serbia,[],[]
