player_id,player_name,player_nickname,jersey_number,country,cards,positions
4870,Tomáš Souček,,22,Czech Republic,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '45:00', 'to': '92:45', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '92:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
7044,Patrik Schick,,10,Czech Republic,"[{'time': '56:39', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 22, 'position': 'Right Center Forward', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '45:00', 'to': '60:02', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
7801,Antonín Barák,,7,Czech Republic,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '78:54', 'to': '92:45', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '92:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8116,Václav Černý,,17,Czech Republic,[],[]
16469,Tomáš Holeš,,3,Czech Republic,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '92:43', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
16570,Vladimír Coufal,,5,Czech Republic,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '92:45', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '92:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
21226,Tomáš Chorý,,19,Czech Republic,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '92:43', 'to': '92:45', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '92:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
23454,Petr Ševčík,,8,Czech Republic,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '78:52', 'to': '92:45', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '92:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
27826,Ondřej Lingr,,20,Czech Republic,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '59:53', 'to': '92:45', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '92:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
28034,Lukáš Provod,,14,Czech Republic,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '45:00', 'to': '78:54', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
28040,Jindřich Staněk,,1,Czech Republic,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
28227,Pavel Šulc,,25,Czech Republic,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '45:00', 'to': '78:52', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
28239,Adam Hložek,,9,Czech Republic,[],[]
28272,Ladislav Krejčí,,18,Czech Republic,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
29484,Jan Kuchta,,11,Czech Republic,[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '45:00', 'to': '59:53', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
32985,Mojmír Chytil,,13,Czech Republic,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '60:02', 'to': '92:45', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '92:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
33200,David Zima,,2,Czech Republic,[],[]
35441,David Doudera,,12,Czech Republic,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '92:45', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '92:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
39143,Matěj Jurásek,,26,Czech Republic,[],[]
39338,Lukáš Červ,,21,Czech Republic,[],[]
40207,Vitezslav Jaros,,23,Czech Republic,[],[]
46046,Matěj Kovář,,16,Czech Republic,[],[]
50896,Martin Vitík,,6,Czech Republic,[],[]
81330,Robin Hranáč,,4,Czech Republic,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': '92:45', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '92:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
134272,David Jurásek,,15,Czech Republic,[],[]
287492,Tomáš Vlček,,24,Czech Republic,[],[]
