player_id,player_name,player_nickname,jersey_number,country,cards,positions
3325,Marko Arnautović,,7,Austria,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '77:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
4813,Andreas Weimann,,24,Austria,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '91:12', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
8068,Maximilian Wöber,,2,Austria,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
8309,Michael Gregoritsch,,11,Austria,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '77:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
8406,Florian Kainz,,17,Austria,[],[]
8506,Konrad Laimer,,20,Austria,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '63:24', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
8518,Marcel Sabitzer,,9,Austria,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '64:59', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '64:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8778,Gernot Trauner,,3,Austria,[],[]
8784,Romano Schmid,,18,Austria,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '91:12', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
8931,Philipp Lienhart,,15,Austria,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '61:30', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
9731,Patrick Pentz,,13,Austria,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
11396,Florian Grillitsch,,10,Austria,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '63:24', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
11820,Kevin Danso,,4,Austria,[],[]
11821,Stefan Posch,,5,Austria,"[{'time': '31:24', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
13315,Philipp Mwene,,16,Austria,[],[]
24977,Christoph Baumgartner,,19,Austria,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '62:27', 'to': '64:59', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '64:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
32417,Heinz Lindner,,1,Austria,[],[]
33297,Patrick Wimmer,,23,Austria,"[{'time': '32:40', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '62:27', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
39120,Flavius Daniliuc,,21,Austria,[],[]
39460,Nicolas Seiwald,,6,Austria,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
39545,Alexander Prass,,8,Austria,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
41371,Niklas Hedl,,12,Austria,[],[]
48169,Marco Grüll,,26,Austria,[],[]
152512,Leopold Querfeld,,14,Austria,"[{'time': '93:54', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '61:30', 'to': '94:08', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Player Off'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '94:21', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]"
403718,Matthias Seidl,,22,Austria,[],[]
403823,Maximilian Entrup,,25,Austria,[],[]
