player_id,player_name,player_nickname,jersey_number,country,cards,positions
8660,George Alexandru Puşcaş,George Puscas,9,Romania,"[{'time': '87:11', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 23, 'position': 'Center Forward', 'from': '66:03', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
10915,Denis Alibec,,7,Romania,[],[]
10916,Nicolae Claudiu Stanciu,Nicolae Stanciu,21,Romania,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
16344,Răzvan Gabriel Marin,Răzvan Marin,18,Romania,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '45:00', 'to': '85:25', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
24861,Andrei Florin Ratiu,Andrei Ratiu,2,Romania,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
28242,Florin Constantin Niţă,Florin Nita,1,Romania,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
28565,Ianis Hagi,,10,Romania,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '00:00', 'to': '65:51', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
30839,Vasile Mogoș,Vasile Mogos,22,Romania,[],[]
30913,Marius Mihai Marin,Marius Marin,6,Romania,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
31193,Denis Mihai Drăguş,Denis Dragus,19,Romania,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '66:03', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
31908,Andrei Burcă Andonie,,15,Romania,"[{'time': '45:14', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
34599,Florinel Teodor Coman,Florinel Coman,17,Romania,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '00:00', 'to': '57:51', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
34600,Nicușor Silviu Bancu,Nicusor Bancu,11,Romania,"[{'time': '47:54', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
34601,Ionuţ Nedelcearu,,5,Romania,[],[]
34602,Adrián Rus,,4,Romania,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '85:25', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
39615,Radu Drăgușin,Radu Dragusin,3,Romania,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
45023,Bogdan Racovițan,,24,Romania,[],[]
45125,Alexandru Cicâldău,,8,Romania,[],[]
56905,Dennis Man,,20,Romania,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '65:51', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
72512,Valentin Mihai Mihăilă,,13,Romania,[],[]
101821,Darius Dumitru Olaru,,14,Romania,[],[]
130905,Horaţiu Alexandru Moldovan,,12,Romania,[],[]
130984,Deian Cristian Sorescu,,23,Romania,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '57:51', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
132260,Ștefan Târnovanu,,16,Romania,[],[]
138355,Adrian Gheorghe Șut,,26,Romania,[],[]
190893,Daniel George Birligea,,25,Romania,[],[]
