player_id,player_name,player_nickname,jersey_number,country,cards,positions
3711,Martin Dúbravka,,1,Slovakia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
4152,Marek Rodák,,12,Slovakia,[],[]
6798,Stanislav Lobotka,,22,Slovakia,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6990,Milan Škriniar,,14,Slovakia,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7975,Lukáš Haraslín,,17,Slovakia,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '69:37', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
8422,Ľubomír Tupta,,10,Slovakia,[],[]
8967,Ondrej Duda,,8,Slovakia,"[{'time': '90:23', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '91:26', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
8976,Vernon De Marco Morlacchi,Vernon De Marco,15,Slovakia,[],[]
9722,Peter Pekarík,,2,Slovakia,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': '91:15', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
10919,Juraj Kucka,,19,Slovakia,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
11383,László Bénes,,11,Slovakia,[],[]
15546,Matúš Bero,,21,Slovakia,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '91:26', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
16041,Patrik Hrošovský,,13,Slovakia,[],[]
16298,Denis Vavro,,3,Slovakia,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
16879,Dávid Hancko,,16,Slovakia,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
20043,Norbert Gyömbér,,6,Slovakia,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '91:15', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
28032,Ivan Schranz,,26,Slovakia,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '76:43', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
34904,Róbert Boženík,,9,Slovakia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '69:43', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
35653,Tomáš Suslov,,7,Slovakia,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '69:37', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
41601,Henrich Ravas,,23,Slovakia,[],[]
43976,David Strelec,,18,Slovakia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '69:43', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
44167,Dávid Ďuriš,,20,Slovakia,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '76:43', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
44336,Sebastián Kóša,,25,Slovakia,[],[]
52026,Tomáš Rigo,,5,Slovakia,[],[]
85063,Adam Obert,,4,Slovakia,[],[]
163610,Leo Sauer,,24,Slovakia,[],[]
