player_id,player_name,player_nickname,jersey_number,country,cards,positions
4870,Tomáš Souček,,22,Czech Republic,"[{'time': '97:38', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '21:17', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '21:17', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
7044,Patrik Schick,,10,Czech Republic,"[{'time': '34:00', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 1}]",[]
7801,Antonín Barák,,7,Czech Republic,"[{'time': '10:43', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}, {'time': '19:17', 'card_type': 'Second Yellow', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '00:00', 'to': '19:17', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Foul Committed (Second Yellow)'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '21:17', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8116,Václav Černý,,17,Czech Republic,[],[]
16469,Tomáš Holeš,,3,Czech Republic,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
16570,Vladimír Coufal,,5,Czech Republic,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '38:47', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 7, 'position': 'Right Wing Back', 'from': '39:10', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]"
21226,Tomáš Chorý,,19,Czech Republic,"[{'time': '97:38', 'card_type': 'Red Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '54:37', 'to': '55:26', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '55:26', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
23454,Petr Ševčík,,8,Czech Republic,[],[]
27826,Ondřej Lingr,,20,Czech Republic,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '74:27', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
28034,Lukáš Provod,,14,Czech Republic,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '21:17', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '21:17', 'to': '34:42', 'from_period': 1, 'to_period': 1, 'start_reason': 'Tactical Shift', 'end_reason': 'Player Off'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '35:02', 'to': '74:27', 'from_period': 1, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Tactical)'}]"
28040,Jindřich Staněk,,1,Czech Republic,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': '54:29', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Injury)'}]"
28227,Pavel Šulc,,25,Czech Republic,[],[]
28239,Adam Hložek,,9,Czech Republic,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '00:00', 'to': '21:17', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '21:17', 'to': '54:37', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
28272,Ladislav Krejčí,,18,Czech Republic,"[{'time': '90:05', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
29484,Jan Kuchta,,11,Czech Republic,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '54:48', 'to': '55:26', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '55:26', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
32985,Mojmír Chytil,,13,Czech Republic,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '54:48', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
33200,David Zima,,2,Czech Republic,[],[]
35441,David Doudera,,12,Czech Republic,[],[]
