player_id,player_name,player_nickname,jersey_number,country,cards,positions
4626,Jan Bednarek,,5,Poland,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '86:42', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 4, 'position': 'Center Back', 'from': '86:42', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
4664,Sebastian Szymański,,20,Poland,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5660,Piotr Zieliński,,10,Poland,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '45:00', 'to': '77:11', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
5667,Kamil Grosicki,,11,Poland,[],[]
5668,Robert Lewandowski,,9,Poland,[],[]
5669,Wojciech Szczęsny,,1,Poland,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5673,Bartosz Bereszyński,,18,Poland,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '85:46', 'to': '86:42', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '86:42', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
7654,Sebastian Walukiewicz,,4,Poland,[],[]
7663,Adam Buksa,,16,Poland,[],"[{'position_id': 22, 'position': 'Right Center Forward', 'from': '00:00', 'to': '26:50', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '26:50', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
7979,Przemysław Frankowski,,19,Poland,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7982,Taras Wiktorowicz Romanczuk,,13,Poland,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '54:37', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
8289,Bartosz Salamon,,2,Poland,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': '85:11', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 4, 'position': 'Center Back', 'from': '85:20', 'to': '85:46', 'from_period': 2, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Injury)'}]"
8714,Damian Szymański,,17,Poland,[],[]
8737,Tymoteusz Puchacz,,15,Poland,[],[]
8836,Karol Świderski,,7,Poland,[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '54:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
11508,Łukasz Skorupski,,12,Poland,[],[]
12493,Krzysztof Piątek,,23,Poland,[],[]
15859,Bartosz Slisz,,24,Poland,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '54:37', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
20841,Jakub Piotrowski,,6,Poland,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '77:11', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
28453,Michał Skóraś,,25,Poland,[],[]
29480,Jakub Moder,,8,Poland,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '45:00', 'to': '45:00', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '45:00', 'to': '86:42', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '86:42', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
30739,Paweł Dawidowicz,,3,Poland,[],[]
31030,Marcin Bulka,,22,Poland,[],[]
