player_id,player_name,player_nickname,jersey_number,country,cards,positions
3575,Oleksandr Zinchenko,,17,Ukraine,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
8830,Andriy Yarmolenko,,7,Ukraine,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '62:31', 'to': '62:32', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '62:32', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
11000,Taras Stepanenko,,6,Ukraine,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '61:54', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
16509,Viktor Tsygankov,,15,Ukraine,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '62:31', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
16514,Serhii Sydorchuk,Sergiy Sydorchuk,5,Ukraine,[],[]
16557,Ruslan Malinovskiy,,8,Ukraine,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '82:19', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
18617,Mykola Matvienko,Mykola Matvienko,22,Ukraine,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
20827,Vitalii Mykolenko,,16,Ukraine,[],[]
21294,Mykola Shaparenko,,19,Ukraine,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '62:31', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
21390,Andriy Lunin,,23,Ukraine,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
22243,Heorhii Bushchan,,1,Ukraine,[],[]
