player_id,player_name,player_nickname,jersey_number,country,cards,positions
7087,Saba Lobzhanidze,Saba Lobjanidze,23,Georgia,[],[]
7655,Lasha Dvali,,3,Georgia,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7839,Guram Kashia,,4,Georgia,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': '85:15', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '85:15', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
11335,Otar Kiteishvili,,17,Georgia,[],[]
16005,Solomon Kverkvelia,Saba Kverkvelia,5,Georgia,"[{'time': '54:44', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '85:02', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
22242,Heorhii Tsitaishvili,Georgiy Tsitaishvili,21,Georgia,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '73:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
23646,Giorgi Chakvetadze,,10,Georgia,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '45:00', 'to': '72:48', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
24284,Giorgi Kvilitaia,,11,Georgia,[],[]
25036,Otar Kakabadze,,2,Georgia,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '85:15', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '85:15', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
31707,Levan Shengelia,,19,Georgia,[],[]
33234,Georges Mikautadze,,22,Georgia,[],"[{'position_id': 22, 'position': 'Right Center Forward', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '45:00', 'to': '85:15', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '85:15', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
38225,Jemal Tabidze,Jimmy Tabidze,24,Georgia,[],[]
