player_id,player_name,player_nickname,jersey_number,country,cards,positions
3575,Oleksandr Zinchenko,,17,Ukraine,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '57:25', 'to': '80:07', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '80:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8830,Andriy Yarmolenko,,7,Ukraine,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '80:03', 'to': '80:07', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '80:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
11000,Taras Stepanenko,,6,Ukraine,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '69:37', 'to': '80:07', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '80:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
16514,Serhii Sydorchuk,Sergiy Sydorchuk,5,Ukraine,[],[]
16557,Ruslan Malinovskiy,,8,Ukraine,[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '69:43', 'to': '69:55', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '69:55', 'to': '80:07', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '80:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
18617,Mykola Matvienko,Mykola Matvienko,22,Ukraine,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
20827,Vitalii Mykolenko,,16,Ukraine,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '56:03', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '57:23', 'to': '57:25', 'from_period': 2, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Injury)'}]"
21294,Mykola Shaparenko,,19,Ukraine,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '69:35', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
21390,Andriy Lunin,,23,Ukraine,[],[]
22243,Heorhii Bushchan,,1,Ukraine,[],[]
23649,Roman Yaremchuk,,9,Ukraine,[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '00:00', 'to': '69:43', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
