player_id,player_name,player_nickname,jersey_number,country,cards,positions
3027,Mathias Jattah-Njie Jørgensen,Zanka,13,Denmark,[],[]
3043,Christian Dannemann Eriksen,Christian Eriksen,10,Denmark,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '00:00', 'to': '80:50', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '80:50', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3570,Pierre-Emile Højbjerg,,23,Denmark,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '80:50', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '80:50', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3815,Kasper Schmeichel,,1,Denmark,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3959,Andreas Christensen,,6,Denmark,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '25:38', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off (Off Camera)'}, {'position_id': 5, 'position': 'Left Center Back', 'from': '25:50', 'to': '80:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Tactical)'}]"
5527,Thomas Delaney,,8,Denmark,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '68:46', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5534,Simon Thorup Kjær,Simon Kjær,4,Denmark,[],[]
5536,Yussuf Yurary Poulsen,Yussuf Poulsen,20,Denmark,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '68:49', 'to': '80:50', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Off Camera)', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '80:50', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
6302,Kasper Dolberg,,12,Denmark,[],[]
7097,Christian Nørgaard,,15,Denmark,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '68:46', 'to': '80:50', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '80:50', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8247,Joachim Andersen,,2,Denmark,"[{'time': '56:02', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
8815,Jannik Vestergaard,,3,Denmark,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': '80:50', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 5, 'position': 'Left Center Back', 'from': '80:50', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8961,Jacob Bruun Larsen,,26,Denmark,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '80:49', 'to': '80:50', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '80:50', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
12420,Frederik Rønnow,,22,Denmark,[],[]
16190,Rasmus Nissen Kristensen,Rasmus Kristensen,25,Denmark,[],[]
16554,Joakim Mæhle,Joakim Maehle,5,Denmark,"[{'time': '59:44', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '80:50', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '80:50', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
17042,Andreas Skov Olsen,,11,Denmark,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '00:00', 'to': '68:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Off Camera)'}]"
18722,Mathias Jensen,,7,Denmark,[],[]
