player_id,player_name,player_nickname,jersey_number,country,cards,positions
3711,Martin Dúbravka,,1,Slovakia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
4152,Marek Rodák,,12,Slovakia,[],[]
6798,Stanislav Lobotka,,22,Slovakia,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '108:26', 'from_period': 1, 'to_period': 4, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '108:26', 'to': None, 'from_period': 4, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
6990,Milan Škriniar,,14,Slovakia,"[{'time': '45:11', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7975,Lukáš Haraslín,,17,Slovakia,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '60:28', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
8422,Ľubomír Tupta,,10,Slovakia,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '108:24', 'to': '108:26', 'from_period': 4, 'to_period': 4, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '108:26', 'to': None, 'from_period': 4, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8967,Ondrej Duda,,8,Slovakia,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '81:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
8976,Vernon De Marco Morlacchi,Vernon De Marco,15,Slovakia,[],[]
9722,Peter Pekarík,,2,Slovakia,"[{'time': '76:32', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': '108:24', 'from_period': 1, 'to_period': 4, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}, {'position_id': 7, 'position': 'Right Wing Back', 'from': '92:33', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
10919,Juraj Kucka,,19,Slovakia,"[{'time': '12:31', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '80:56', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
