player_id,player_name,player_nickname,jersey_number,country,cards,positions
3088,Lewis Dunk,,15,England,[],[]
3205,Kyle Walker,,2,England,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': '105:00', 'from_period': 1, 'to_period': 4, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '105:00', 'to': '65:08', 'from_period': 4, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '65:08', 'to': '90:00', 'from_period': 2, 'to_period': 3, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '90:00', 'to': '93:54', 'from_period': 3, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '93:54', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3244,John Stones,,5,England,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '105:00', 'from_period': 1, 'to_period': 4, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 4, 'position': 'Center Back', 'from': '105:00', 'to': '65:08', 'from_period': 4, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '65:08', 'to': '90:00', 'from_period': 2, 'to_period': 3, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 4, 'position': 'Center Back', 'from': '90:00', 'to': '93:54', 'from_period': 3, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '93:54', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3308,Kieran Trippier,,12,England,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '63:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 6, 'position': 'Left Back', 'from': '64:17', 'to': '65:06', 'from_period': 2, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Injury)'}]"
3382,Luke Shaw,,3,England,[],[]
3468,Jordan Pickford,,1,England,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3495,Joe Gomez,,22,England,[],[]
3664,Trent Alexander-Arnold,,8,England,[],[]
3822,Ezri Konsa Ngoyo,Ezri Konsa,14,England,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '105:00', 'to': '105:00', 'from_period': 4, 'to_period': 4, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '105:00', 'to': None, 'from_period': 4, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
3834,Ivan Toney,,17,England,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '105:00', 'to': '90:00', 'from_period': 4, 'to_period': 3, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '90:00', 'to': '93:51', 'from_period': 3, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '93:51', 'to': '93:54', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '93:54', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3943,Declan Rice,,4,England,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '90:00', 'from_period': 1, 'to_period': 3, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '90:00', 'to': '93:54', 'from_period': 3, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '93:54', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
4073,Dean Henderson,,23,England,[],[]
4354,Phil Foden,,11,England,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '83:10', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '83:10', 'to': '93:51', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
4760,Ollie Watkins,,19,England,[],[]
9000,Eberechi Eze,,21,England,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '105:00', 'to': '83:09', 'from_period': 4, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '83:09', 'to': '83:10', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '83:10', 'to': '90:00', 'from_period': 2, 'to_period': 3, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '90:00', 'to': '93:54', 'from_period': 3, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '93:54', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
9640,Jarrod Bowen,,20,England,[],[]
10955,Harry Kane,,9,England,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '105:00', 'from_period': 1, 'to_period': 4, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}, {'position_id': 23, 'position': 'Center Forward', 'from': '65:08', 'to': '90:00', 'from_period': 2, 'to_period': 3, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '90:00', 'to': None, 'from_period': 3, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
