player_id,player_name,player_nickname,jersey_number,country,cards,positions
3325,Marko Arnautović,,7,Austria,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
4813,Andreas Weimann,,24,Austria,[],[]
8068,Maximilian Wöber,,2,Austria,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '63:58', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
8309,Michael Gregoritsch,,11,Austria,[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '45:00', 'to': '45:00', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 17, 'position': 'Right Wing', 'from': '45:00', 'to': '73:06', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '73:06', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8406,Florian Kainz,,17,Austria,[],[]
8506,Konrad Laimer,,20,Austria,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '64:13', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
8518,Marcel Sabitzer,,9,Austria,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '45:00', 'to': '73:06', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '73:06', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8784,Romano Schmid,,18,Austria,"[{'time': '37:36', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
8931,Philipp Lienhart,,15,Austria,"[{'time': '51:43', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '63:58', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
9731,Patrick Pentz,,13,Austria,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
11396,Florian Grillitsch,,10,Austria,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '64:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
11820,Kevin Danso,,4,Austria,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
11821,Stefan Posch,,5,Austria,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
13315,Philipp Mwene,,16,Austria,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
24977,Christoph Baumgartner,,19,Austria,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '06:06', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '07:03', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Tactical Shift'}, {'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '45:00', 'to': '73:06', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '73:06', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
32417,Heinz Lindner,,1,Austria,[],[]
39120,Flavius Daniliuc,,21,Austria,[],[]
39460,Nicolas Seiwald,,6,Austria,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
39545,Alexander Prass,,8,Austria,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
41371,Niklas Hedl,,12,Austria,[],[]
48169,Marco Grüll,,26,Austria,[],[]
152512,Leopold Querfeld,,14,Austria,[],[]
403718,Matthias Seidl,,22,Austria,[],[]
403823,Maximilian Entrup,,25,Austria,[],[]
