player_id,player_name,player_nickname,jersey_number,country,cards,positions
3648,Cenk Tosun,,9,Turkey,"[{'time': '92:53', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 4, 'position': 'Center Back', 'from': '81:30', 'to': '81:36', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '81:36', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
7039,Hakan Çalhanoğlu,,10,Turkey,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '88:31', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '88:31', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
9085,Salih Özcan,,15,Turkey,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '76:45', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
10349,Mehmet Zeki Çelik,Zeki Celik,2,Turkey,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '81:17', 'to': '81:36', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '81:36', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
10826,Mert Müldür,,18,Turkey,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '81:17', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
12293,Kaan Ayhan,,22,Turkey,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '88:22', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
12555,Okay Yokuşlu,,5,Turkey,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '76:45', 'to': '88:31', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '88:31', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
18723,Yunus Akgün,,25,Turkey,[],[]
29989,Yusuf Yazıcı,,11,Turkey,[],[]
30310,Fehmi Mert Günok,Mert Günok,1,Turkey,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
